city,res,origins,departure,budget,samples,mode,exclude,variant,pair,wall_s,cpu_s,bytes,gc_s,compile_s,rss,expansions
Vienna,6,127,28800000,10800000,96,mean_intersection,false,free,3,0.31397948,0.6224169999999845,8349080,0.0,0.0,4879347712,10666728
Vienna,6,127,28800000,10800000,96,mean_intersection,false,walking,3,5.470323845,10.290057000000047,23405792,0.0,0.0,4879441920,4575268
Salzburg,7,127,28800000,10800000,4,mean_intersection,false,fine,0,0.089554436,0.16637899999994943,30357536,0.0,0.0,4985438208,2495034
Salzburg,7,127,28800000,10800000,4,mean_intersection,false,free,0,0.031338529,0.05960299999998142,14608728,0.0,0.0,4985438208,1264091
Salzburg,7,127,28800000,10800000,4,mean_intersection,false,zero,0,0.767506414,1.5212740000000053,30151512,0.0,0.0,4985438208,1284020
Salzburg,7,127,28800000,10800000,4,mean_intersection,false,walking,0,0.304755588,0.5989079999999944,22799688,0.0,0.0,4985438208,566585
Salzburg,7,127,28800000,10800000,4,mean_intersection,false,independent,0,0.440016839,0.8483699999999885,22804872,0.0,0.0,4985438208,911115
Salzburg,7,127,28800000,10800000,4,mean_intersection,false,independent,1,0.41901928,0.8238949999999932,22804872,0.0,0.0,4985438208,911115
Salzburg,7,127,28800000,10800000,4,mean_intersection,false,fine,1,0.080526538,0.15145200000000614,30357536,0.0,0.0,4985536512,2495034
Salzburg,7,127,28800000,10800000,4,mean_intersection,false,free,1,0.032162912,0.06354399999997895,14608728,0.0,0.0,4985536512,1264091
Salzburg,7,127,28800000,10800000,4,mean_intersection,false,zero,1,0.782754935,1.5356069999999704,30151512,0.0,0.0,4985536512,1284020
Salzburg,7,127,28800000,10800000,4,mean_intersection,false,walking,1,0.314338869,0.6102070000000026,22799688,0.0,0.0,4985536512,566585
Salzburg,7,127,28800000,10800000,4,mean_intersection,false,walking,2,0.3068649,0.6086449999999672,22799688,0.0,0.0,4985536512,566585
Salzburg,7,127,28800000,10800000,4,mean_intersection,false,independent,2,0.44920042,0.859410999999966,22804872,0.0,0.0,4985536512,911115
Salzburg,7,127,28800000,10800000,4,mean_intersection,false,fine,2,0.097217321,0.1793140000000335,30357536,0.0,0.0,4985536512,2495034
Salzburg,7,127,28800000,10800000,4,mean_intersection,false,free,2,0.031929265,0.061496000000033746,14608728,0.0,0.0,4905975808,1264091
Salzburg,7,127,28800000,10800000,4,mean_intersection,false,zero,2,0.794929396,1.571533000000045,30151512,0.0,0.0,4905959424,1284020
Salzburg,7,127,28800000,10800000,4,mean_intersection,false,zero,3,0.796874268,1.561503000000016,30151512,0.0,0.0,4905959424,1284020
Salzburg,7,127,28800000,10800000,4,mean_intersection,false,walking,3,0.316293491,0.6213669999999638,22799688,0.0,0.0,4905943040,566585
Salzburg,7,127,28800000,10800000,4,mean_intersection,false,independent,3,0.417496218,0.8313909999999964,22804872,0.0,0.0,4905943040,911115
Salzburg,7,127,28800000,10800000,4,mean_intersection,false,fine,3,0.099172734,0.1810029999999756,30357536,0.0,0.0,4905943040,2495034
Salzburg,7,127,28800000,10800000,4,mean_intersection,false,free,3,0.035902055,0.06582600000001548,14608728,0.0,0.0,4905943040,1264091
Salzburg,7,127,28800000,10800000,96,mean_intersection,false,fine,0,1.594960944,3.069692000000032,31123952,0.0,0.0,4754665472,38239550
Salzburg,7,127,28800000,10800000,96,mean_intersection,false,free,0,0.578891325,1.1445300000000316,15606808,0.0,0.0,4754665472,18984935
Salzburg,7,127,28800000,10800000,96,mean_intersection,false,walking,0,5.189486802,10.338011999999992,26222344,0.0,0.0,4754673664,8936457
Salzburg,7,127,28800000,10800000,96,mean_intersection,false,walking,1,5.346790838,10.556843999999955,26222344,0.0,0.0,4754673664,8936457
Salzburg,7,127,28800000,10800000,96,mean_intersection,false,fine,1,1.650138429,3.2179570000000126,31123952,0.0,0.0,4754673664,38239550
Salzburg,7,127,28800000,10800000,96,mean_intersection,false,free,1,0.60987173,1.1912280000000237,15606808,0.0,0.0,4754673664,18984935
Salzburg,7,127,28800000,10800000,96,mean_intersection,false,free,2,0.60917327,1.1792760000000158,15606808,0.0,0.0,4754673664,18984935
Salzburg,7,127,28800000,10800000,96,mean_intersection,false,walking,2,5.401688871,10.603365999999994,26222344,0.0,0.0,4754681856,8936457
Salzburg,7,127,28800000,10800000,96,mean_intersection,false,fine,2,1.646978889,3.191919999999982,31123952,0.0,0.0,4754681856,38239550
Salzburg,7,127,28800000,10800000,96,mean_intersection,false,fine,3,1.62594069,3.1293039999999905,31123952,0.0,0.0,4754681856,38239550
Salzburg,7,127,28800000,10800000,96,mean_intersection,false,free,3,0.603609227,1.188017000000002,15606808,0.0,0.0,4754681856,18984935
Salzburg,7,127,28800000,10800000,96,mean_intersection,false,walking,3,5.499226007,10.808635000000038,26222344,0.0,0.0,4754681856,8936457
Salzburg,6,127,28800000,10800000,4,mean_intersection,false,fine,0,0.104990047,0.18857100000002447,30357536,0.0,0.0,4799074304,2495034
Salzburg,6,127,28800000,10800000,4,mean_intersection,false,free,0,0.021699335,0.03310900000008132,7974120,0.0,0.0,4799074304,484629
Salzburg,6,127,28800000,10800000,4,mean_intersection,false,zero,0,0.700783879,1.387491999999952,27986840,0.0,0.0,4799074304,501353
Salzburg,6,127,28800000,10800000,4,mean_intersection,false,walking,0,0.194845823,0.35040399999991223,15465768,0.0,0.0,4799074304,167073
Salzburg,6,127,28800000,10800000,4,mean_intersection,false,independent,0,0.215854165,0.42923200000007,15467240,0.0,0.0,4799074304,245663
Salzburg,6,127,28800000,10800000,4,mean_intersection,false,independent,1,0.214680222,0.4024890000000596,15467240,0.0,0.0,4799074304,245663
Salzburg,6,127,28800000,10800000,4,mean_intersection,false,fine,1,0.091297726,0.17680399999994734,30357536,0.0,0.0,4799074304,2495034
Salzburg,6,127,28800000,10800000,4,mean_intersection,false,free,1,0.022192239,0.04326900000000933,7974120,0.0,0.0,4799074304,484629
Salzburg,6,127,28800000,10800000,4,mean_intersection,false,zero,1,0.730355006,1.4145650000000387,27986840,0.0,0.0,4799074304,501353
Salzburg,6,127,28800000,10800000,4,mean_intersection,false,walking,1,0.182324428,0.35251099999993585,15465768,0.0,0.0,4799074304,167073
Salzburg,6,127,28800000,10800000,4,mean_intersection,false,walking,2,0.18259605,0.34033899999997175,15465768,0.0,0.0,4799074304,167073
Salzburg,6,127,28800000,10800000,4,mean_intersection,false,independent,2,0.235253992,0.4412779999998975,15467240,0.0,0.0,4799074304,245663
Salzburg,6,127,28800000,10800000,4,mean_intersection,false,fine,2,0.094215006,0.17475000000001728,30357536,0.0,0.0,4799074304,2495034
Salzburg,6,127,28800000,10800000,4,mean_intersection,false,free,2,0.015314834,0.0290660000000571,7974120,0.0,0.0,4799074304,484629
Salzburg,6,127,28800000,10800000,4,mean_intersection,false,zero,2,0.714756669,1.4041830000001028,27986840,0.0,0.0,4799074304,501353
Salzburg,6,127,28800000,10800000,4,mean_intersection,false,zero,3,0.691558469,1.3630920000000515,27986840,0.0,0.0,4799074304,501353
Salzburg,6,127,28800000,10800000,4,mean_intersection,false,walking,3,0.181426694,0.34701700000005076,15465768,0.0,0.0,4799074304,167073
Salzburg,6,127,28800000,10800000,4,mean_intersection,false,independent,3,0.218551644,0.41940599999998085,15467240,0.0,0.0,4799074304,245663
Salzburg,6,127,28800000,10800000,4,mean_intersection,false,fine,3,0.096465893,0.18060700000000907,30357536,0.0,0.0,4799074304,2495034
Salzburg,6,127,28800000,10800000,4,mean_intersection,false,free,3,0.015770414,0.02885300000002644,7974120,0.0,0.0,4799074304,484629
Salzburg,6,127,28800000,10800000,96,mean_intersection,false,fine,0,1.694366777,3.280202000000031,31123952,0.0,0.0,4658733056,38239550
Salzburg,6,127,28800000,10800000,96,mean_intersection,false,free,0,0.326628869,0.5978210000000672,8311016,0.0,0.0,4658733056,7499283
Salzburg,6,127,28800000,10800000,96,mean_intersection,false,walking,0,3.012330065,5.753226999999924,19171856,0.0,0.0,4658733056,2592175
Salzburg,6,127,28800000,10800000,96,mean_intersection,false,walking,1,2.933741476,5.636319999999955,19171856,0.0,0.0,4658733056,2592175
Salzburg,6,127,28800000,10800000,96,mean_intersection,false,fine,1,1.703594848,3.2336930000000166,31123952,0.0,0.0,4658733056,38239550
Salzburg,6,127,28800000,10800000,96,mean_intersection,false,free,1,0.291022485,0.5760520000000042,8311016,0.0,0.0,4658733056,7499283
Salzburg,6,127,28800000,10800000,96,mean_intersection,false,free,2,0.304641857,0.5977099999998927,8311016,0.0,0.0,4658733056,7499283
Salzburg,6,127,28800000,10800000,96,mean_intersection,false,walking,2,2.931758889,5.564971000000014,19171856,0.0,0.0,4658733056,2592175
Salzburg,6,127,28800000,10800000,96,mean_intersection,false,fine,2,1.710889598,3.2319330000000264,31123952,0.0,0.0,4658733056,38239550
Salzburg,6,127,28800000,10800000,96,mean_intersection,false,fine,3,1.646020086,3.210296000000085,31123952,0.0,0.0,4658733056,38239550
Salzburg,6,127,28800000,10800000,96,mean_intersection,false,free,3,0.286353757,0.5557410000000118,8311016,0.0,0.0,4658733056,7499283
Salzburg,6,127,28800000,10800000,96,mean_intersection,false,walking,3,2.917841007,5.6071869999999535,19171856,0.0,0.0,4658733056,2592175
