city,res,origins,departure,budget,samples,mode,exclude,variant,origin,fine_population,actual_population,signed_error
Vienna,6,127,28800000,10800000,4,mean_intersection,false,free,881e15b5c1fffff,4.690949e6,6.364084e6,1.673135e6
Vienna,6,127,28800000,10800000,4,mean_intersection,false,free,881e15b417fffff,4.687082e6,6.359266e6,1.672184e6
Vienna,6,127,28800000,10800000,4,mean_intersection,false,free,881e15b45bfffff,4.693038e6,6.36403e6,1.670992e6
Vienna,6,127,28800000,10800000,4,mean_intersection,false,zero,881e15b4e5fffff,4.540828e6,6.364084e6,1.823256e6
Vienna,6,127,28800000,10800000,4,mean_intersection,false,zero,881e15b415fffff,4.575126e6,6.33525e6,1.760124e6
Vienna,6,127,28800000,10800000,4,mean_intersection,false,zero,881e15b433fffff,4.621068e6,6.364084e6,1.743016e6
Vienna,6,127,28800000,10800000,4,mean_intersection,false,zero,881e15b4edfffff,4.636279e6,6.364084e6,1.727805e6
Vienna,6,127,28800000,10800000,4,mean_intersection,false,zero,881e15b419fffff,4.635952e6,6.36142e6,1.725468e6
Vienna,6,127,28800000,10800000,4,mean_intersection,false,zero,881e15b5c5fffff,4.647871e6,6.36403e6,1.716159e6
Vienna,6,127,28800000,10800000,4,mean_intersection,false,zero,881e15b411fffff,4.687082e6,6.365294e6,1.678212e6
Vienna,6,127,28800000,10800000,4,mean_intersection,false,zero,881e15b5c1fffff,4.690949e6,6.364084e6,1.673135e6
Vienna,6,127,28800000,10800000,4,mean_intersection,false,zero,881e15b417fffff,4.687082e6,6.359266e6,1.672184e6
Vienna,6,127,28800000,10800000,4,mean_intersection,false,zero,881e15b45bfffff,4.693038e6,6.36403e6,1.670992e6
Vienna,6,127,28800000,10800000,4,mean_intersection,false,walking,881e15b5e1fffff,4.731453e6,3.094248e6,-1.637205e6
Vienna,6,127,28800000,10800000,4,mean_intersection,false,walking,881e15b5ddfffff,4.802902e6,3.406708e6,-1.396194e6
Vienna,6,127,28800000,10800000,4,mean_intersection,false,walking,881e15b5c1fffff,4.690949e6,3.303318e6,-1.387631e6
Vienna,6,127,28800000,10800000,4,mean_intersection,false,walking,881e15b5c7fffff,4.537265e6,3.158924e6,-1.378341e6
Vienna,6,127,28800000,10800000,4,mean_intersection,false,walking,881e15b461fffff,5.103592e6,3.746288e6,-1.357304e6
Vienna,6,127,28800000,10800000,4,mean_intersection,false,walking,881e15b445fffff,5.193854e6,3.844496e6,-1.349358e6
Vienna,6,127,28800000,10800000,4,mean_intersection,false,walking,881e15b449fffff,5.140725e6,3.806242e6,-1.334483e6
Vienna,6,127,28800000,10800000,4,mean_intersection,false,walking,881e15b635fffff,5.140725e6,3.806246e6,-1.334479e6
Vienna,6,127,28800000,10800000,4,mean_intersection,false,walking,881e15b5ebfffff,4.553397e6,3.222713e6,-1.330684e6
Vienna,6,127,28800000,10800000,4,mean_intersection,false,walking,881e15b559fffff,5.380269e6,4.050496e6,-1.329773e6
Vienna,6,127,28800000,10800000,4,mean_intersection,false,independent,881e15b5e1fffff,4.731453e6,3.082692e6,-1.648761e6
Vienna,6,127,28800000,10800000,4,mean_intersection,false,independent,881e15b5c7fffff,4.537265e6,2.979846e6,-1.557419e6
Vienna,6,127,28800000,10800000,4,mean_intersection,false,independent,881e15b5d9fffff,4.538089e6,3.004221e6,-1.533868e6
Vienna,6,127,28800000,10800000,4,mean_intersection,false,independent,881e15b5c1fffff,4.690949e6,3.20164e6,-1.489309e6
Vienna,6,127,28800000,10800000,4,mean_intersection,false,independent,881e15b5ddfffff,4.802902e6,3.315307e6,-1.487595e6
Vienna,6,127,28800000,10800000,4,mean_intersection,false,independent,881e15b461fffff,5.103592e6,3.649411e6,-1.454181e6
Vienna,6,127,28800000,10800000,4,mean_intersection,false,independent,881e15b445fffff,5.193854e6,3.749222e6,-1.444632e6
Vienna,6,127,28800000,10800000,4,mean_intersection,false,independent,881e15b5ebfffff,4.553397e6,3.161023e6,-1.392374e6
Vienna,6,127,28800000,10800000,4,mean_intersection,false,independent,881e15b5e9fffff,4.877639e6,3.485444e6,-1.392195e6
Vienna,6,127,28800000,10800000,4,mean_intersection,false,independent,881e15b449fffff,5.140725e6,3.754426e6,-1.386299e6
