"c","probe","company"
9748,"1970-01-02 06:30:00.000","uk"
2577,"1970-01-02 06:30:00.000","ter"
53506,"1970-01-02 06:30:00.000","swiss"
868,"1970-01-02 06:30:00.000","tgv"
10153,"1970-01-02 06:35:00.000","uk"
2782,"1970-01-02 06:35:00.000","ter"
55428,"1970-01-02 06:35:00.000","swiss"
971,"1970-01-02 06:35:00.000","tgv"
1730,"1970-01-02 06:35:00.000","sncb"
318,"1970-01-02 06:35:00.000","intercites"
1061,"1970-01-02 06:40:00.000","tgv"
10553,"1970-01-02 06:40:00.000","uk"
3017,"1970-01-02 06:40:00.000","ter"
323,"1970-01-02 06:40:00.000","intercites"
56385,"1970-01-02 06:40:00.000","swiss"
1873,"1970-01-02 06:40:00.000","sncb"
330,"1970-01-02 06:45:00.000","intercites"
1912,"1970-01-02 06:45:00.000","sncb"
1152,"1970-01-02 06:45:00.000","tgv"
10990,"1970-01-02 06:45:00.000","uk"
3218,"1970-01-02 06:45:00.000","ter"
56556,"1970-01-02 06:45:00.000","swiss"
1970,"1970-01-02 06:50:00.000","sncb"
3374,"1970-01-02 06:50:00.000","ter"
332,"1970-01-02 06:50:00.000","intercites"
11389,"1970-01-02 06:50:00.000","uk"
57840,"1970-01-02 06:50:00.000","swiss"
1246,"1970-01-02 06:50:00.000","tgv"
331,"1970-01-02 06:55:00.000","intercites"
1318,"1970-01-02 06:55:00.000","tgv"
11632,"1970-01-02 06:55:00.000","uk"
3475,"1970-01-02 06:55:00.000","ter"
57276,"1970-01-02 06:55:00.000","swiss"
1964,"1970-01-02 06:55:00.000","sncb"
2003,"1970-01-02 07:00:00.000","sncb"
326,"1970-01-02 07:00:00.000","intercites"
57056,"1970-01-02 07:00:00.000","swiss"
12029,"1970-01-02 07:00:00.000","uk"
3620,"1970-01-02 07:00:00.000","ter"
1504,"1970-01-02 07:00:00.000","tgv"
313,"1970-01-02 07:05:00.000","intercites"
2100,"1970-01-02 07:05:00.000","sncb"
1570,"1970-01-02 07:05:00.000","tgv"
58769,"1970-01-02 07:05:00.000","swiss"
3809,"1970-01-02 07:05:00.000","ter"
12411,"1970-01-02 07:05:00.000","uk"
2239,"1970-01-02 07:10:00.000","sncb"
316,"1970-01-02 07:10:00.000","intercites"
1628,"1970-01-02 07:10:00.000","tgv"
12642,"1970-01-02 07:10:00.000","uk"
3955,"1970-01-02 07:10:00.000","ter"
59162,"1970-01-02 07:10:00.000","swiss"
1729,"1970-01-02 07:15:00.000","tgv"
13066,"1970-01-02 07:15:00.000","uk"
4024,"1970-01-02 07:15:00.000","ter"
58912,"1970-01-02 07:15:00.000","swiss"
329,"1970-01-02 07:15:00.000","intercites"
2336,"1970-01-02 07:15:00.000","sncb"
348,"1970-01-02 07:20:00.000","intercites"
1792,"1970-01-02 07:20:00.000","tgv"
60022,"1970-01-02 07:20:00.000","swiss"
