"start_lat","start_lon","finish_lat","finish_lon","speed","count"
40.407,-3.689,40.471,-3.683,39.217723160622974,55
52.357,-2.948,52.391,-2.912,67.57609281280662,43
25.65,81.317,25.762,81.103,74.56333996433233,6
24.809,85.152,24.813,85.226,49.69141730335622,6
-27.202,152.96,-27.162,152.957,53.770780809819655,204
48.199,5.134,48.27,5.124,94.76460468174221,8
54.049,-2.807,54.13,-2.771,76.872694130988,31
50.854,-0.982,51.238,-0.581,88.75981651202466,54
22.745,71.63,23.025,72.601,53.06518939508039,13
47.84,25.909,47.867,25.861,31.36318628752581,6
47.644,19.135,47.677,19.134,74.12624822026322,83
51.772,22.804,51.802,22.73,92.47708812612974,12
48.947,6.17,48.978,5.272,230.0731823684166,19
35.551,139.541,35.559,139.552,73.75392778105689,376
25.462,85.709,25.479,85.733,60.89002981812698,4
50.512,13.658,50.525,13.585,64.7525154222467,27
26.495,90.889,26.502,90.963,198.90075522285483,16
41.012,-73.879,41.04,-73.873,62.094062737866004,44
42.653,23.47,42.674,23.515,44.00791844087707,8
44.88,2.241,44.921,2.436,48.20007946281898,1
53.09,7.387,53.231,7.465,110.8145191008822,71
35.396,139.467,35.429,139.495,53.89810126812403,23
18.196,78.376,18.239,78.357,78.69835604872247,9
48.127,11.605,51.22,6.794,62.2623868979525,1
33.617,-7.55,33.687,-7.383,115.35383260570438,6
49.19,16.61,49.207,16.148,51.70104313701456,20
22.425,87.308,22.53,87.32,70.15631646396379,10
19.102,77.552,19.148,77.51,45.05905108947854,6
9.37,76.409,9.386,76.364,102.74899897244492,6
16.382,77.884,16.758,77.999,68.3668830314518,18
26.377,85.514,26.387,85.517,21.055331322426852,6
51.476,-0.863,51.518,-0.723,92.9707591737415,9
48.989,1.704,48.998,1.63,82.40481238004367,64
22.712,86.314,22.743,86.261,63.289446668268695,12
52.604,12.869,52.606,12.87,28.333692666466703,1
56.524,21.017,56.681,22.012,68.12984545092795,4
51.451,7.075,51.451,7.014,84.65945501120058,984
25.486,85.098,25.507,85.104,22.99629971626727,7
51.319,-0.557,51.502,-0.113,79.26554779325812,4
-33.952,151.137,-33.928,151.154,61.981235960764295,415
35.601,139.721,35.62,139.728,43.86268505495443,158
51.348,-0.093,51.377,-0.092,47.03861111154131,305
16.131,80.775,16.178,80.743,92.05852840244445,9
51.41,19.685,51.763,19.544,71.37516456577609,12
47.124,17.369,47.129,17.331,58.077247465490416,18
23.224,87.075,23.496,86.674,80.17531885752587,30
16.382,77.884,16.424,77.884,69.83933551410856,5
52.22,20.966,52.226,20.991,54.88323227159223,664
8.737,77.708,9.358,77.922,68.65221756798313,3
53.755,-0.787,53.765,-0.861,74.49368800166275,16
27.884,78.749,27.995,79.015,69.38189046239968,4
53.189,8.558,53.193,8.545,29.230257045978803,243
46.942,6.677,46.997,6.936,56.250352734678465,9
53.942,16.977,53.998,16.966,62.48818953016323,20
49.034,16.592,49.133,16.606,94.84280151851698,1
51.8,-0.622,51.996,-0.736,86.86356965532521,1
46.619,13.849,46.62,14.044,89.72739441385406,33
59.91,10.755,60.058,10.864,35.22448549664915,49
47.667,8.614,47.676,8.613,60.43676985683796,373
43.109,-79.058,43.11,-79.055,15.726169966281459,2
51.442,7.559,51.488,7.5,43.689760900690885,2
44.439,3.924,44.593,3.904,57.04306917709406,8
45.513,9.481,45.514,9.513,49.748447851817524,181
47.985,12.546,48,12.536,35.200596017216874,37
46.038,14.465,46.05,14.494,79.7377069401127,34
48.447,15.715,48.453,15.73,39.80607280896764,26
51.452,7.014,53.553,10.007,112.65146296049555,9
47.596,10.557,47.624,10.505,50.38279174309683,37
51.921,6.578,51.937,6.458,72.49528692013801,56
54.455,-2.369,54.58,-2.487,79.63480500866712,75
49.178,16.291,49.187,16.359,50.336509142630135,33
42.164,-8.622,42.286,-8.619,80.82442488739659,6
43.198,27.912,43.209,27.887,48.501800082003726,23
49.145,16.874,49.146,17,77.95724585384934,17
42.522,-71.108,42.571,-71.161,69.39777990353363,41
53.793,9.762,53.793,9.772,40.083898675962125,81
8.622,77.906,8.709,77.738,138.85572123627935,2
45.552,13.892,45.57,13.941,18.812519237653998,2
42.13,2.204,42.196,2.196,55.25697269704631,38
51.178,17.194,51.201,17.386,74.43575119505827,2
50.069,16.608,50.097,16.659,52.804832289571124,2
47.937,20.371,47.956,20.357,35.83497587391963,8
51.772,7.227,51.828,7.296,116.73328731214345,1
51.726,19.484,51.736,19.511,63.07395072661866,8
44.752,-0.538,44.768,-0.547,36.007053076883736,32
48.479,8.974,48.515,9.053,84.68514598171784,100
44.932,-123.028,45.529,-122.677,58.08279707571342,2
51.117,19.129,51.145,19.097,77.16340482890547,5
46.874,7.559,46.949,7.437,62.03151959891965,17
