network,resolution,city,fold,family,cpu_ms,wall_ms,gc_ms,compile_ms,rss_bytes,external_cores,workers,reused_workers,output_bytes,url
everything,5,rural,train,3,7.586000000003423,3.096507,0,0,20759334912,0.7795881001753919,2,2,1106,/reachable?network=everything&index=851fb003fffffff&departure_h=17&budget_h=0.5&max_walk_h=1.0&metric=accessible_population&encoding=string&distance_mode=straight_line&origin_radius=2&exclude_origin_population=true&window_h=0.06666666666666667&step_h=0.016666666666666666&window_mode=diff_intersection
everything,5,Munich,calibration,0,11.956999999995332,4.254682,0,0,20759334912,4.240739972563013,1,0,51634,/reachable?network=everything&index=851f8d47fffffff&departure_h=8&budget_h=3.0&max_walk_h=0.0&metric=time&encoding=split&distance_mode=itinerary
everything,5,Munich,calibration,0,0.36600000001385524,0.346354,0,0,20762677248,0,1,0,962,/reachable?network=everything&index=851f8d47fffffff&departure_h=17&budget_h=0.0&max_walk_h=0.1&metric=time&encoding=string&distance_mode=straight_line
everything,5,Munich,calibration,1,96.37200000000234,36.246737,0,0,20781219840,2.307186993621956,3,0,289762,/reachable?network=everything&index=851f8d47fffffff&departure_h=8&budget_h=6.0&max_walk_h=0.1&metric=time&encoding=split&distance_mode=itinerary&window_h=0.26666666666666666&step_h=0.016666666666666666&window_mode=diff_intersection
everything,5,Munich,calibration,1,1.7809999999940374,0.987829,0,0,20790845440,0,2,0,4282,/reachable?network=everything&index=851f8d47fffffff&departure_h=17&budget_h=0.25&max_walk_h=0.5&metric=time&encoding=string&distance_mode=straight_line&window_h=0.03333333333333333&step_h=0.016666666666666666&window_mode=reachable_union
everything,5,Munich,calibration,2,120.0550000000078,23.830619000000002,0,0,20790878208,1.6762048823059599,1,1,794,/reachable?network=everything&index=851f8d47fffffff&departure_h=8&budget_h=0.0&max_walk_h=0.5&metric=accessible_population&encoding=split&distance_mode=itinerary&origin_radius=0&exclude_origin_population=false
everything,5,Munich,calibration,2,2.300999999988562,0.778698,0,0,20790910976,0,1,1,1130,/reachable?network=everything&index=851f8d47fffffff&departure_h=17&budget_h=0.5&max_walk_h=1.0&metric=accessible_population&encoding=string&distance_mode=straight_line&origin_radius=2&exclude_origin_population=true
everything,5,Munich,calibration,3,2.8240000000039345,0.619753,0,0,20790935552,11.57880641047206,1,1,890,/reachable?network=everything&index=851f8d47fffffff&departure_h=8&budget_h=0.25&max_walk_h=1.0&metric=accessible_population&encoding=split&distance_mode=itinerary&origin_radius=1&exclude_origin_population=false&window_h=0.06666666666666667&step_h=0.016666666666666666&window_mode=diff_intersection
everything,5,Munich,calibration,3,51.43300000000295,15.544357,0,0,20791009280,3.1244135643757196,3,3,3074,/reachable?network=everything&index=851f8d47fffffff&departure_h=17&budget_h=1.0&max_walk_h=0.0&metric=accessible_population&encoding=string&distance_mode=straight_line&origin_radius=5&exclude_origin_population=true&window_h=0.26666666666666666&step_h=0.016666666666666666&window_mode=reachable_union
everything,5,London,test,0,10.118000000005622,8.517393,0,0,20791033856,3.5083505055182123,1,0,155058,/reachable?network=everything&index=85194ad3fffffff&departure_h=8&budget_h=6.0&max_walk_h=0.1&metric=time&encoding=split&distance_mode=itinerary
everything,5,London,test,0,1.1869999999873926,0.5325380000000001,0,0,20791095296,0,1,0,6914,/reachable?network=everything&index=85194ad3fffffff&departure_h=17&budget_h=0.25&max_walk_h=0.5&metric=time_distance_quantile&encoding=string&distance_mode=straight_line
everything,5,London,test,1,1.1290000000201417,0.612849,0,0,20791119872,47.1094837846183,2,0,1810,/reachable?network=everything&index=85194ad3fffffff&departure_h=8&budget_h=0.0&max_walk_h=0.5&metric=time&encoding=split&distance_mode=itinerary&window_h=0.03333333333333333&step_h=0.016666666666666666&window_mode=reachable_union
everything,5,London,test,1,3.5239999999987504,1.4173930000000001,0,0,20791209984,0,2,0,14218,/reachable?network=everything&index=85194ad3fffffff&departure_h=17&budget_h=0.5&max_walk_h=1.0&metric=time_distance_quantile&encoding=string&distance_mode=straight_line&window_h=0.06666666666666667&step_h=0.016666666666666666&window_mode=mean_intersection
everything,5,London,test,2,19.223999999979924,3.610766,0,0,20791242752,8.523399138508438,1,1,890,/reachable?network=everything&index=85194ad3fffffff&departure_h=8&budget_h=0.25&max_walk_h=1.0&metric=accessible_population&encoding=split&distance_mode=itinerary&origin_radius=1&exclude_origin_population=false
everything,5,London,test,2,6.332999999983713,2.648411,0,0,20791316480,5.160452821953519,2,2,3050,/reachable?network=everything&index=85194ad3fffffff&departure_h=17&budget_h=1.0&max_walk_h=0.0&metric=accessible_population&encoding=string&distance_mode=straight_line&origin_radius=5&exclude_origin_population=true
everything,5,London,test,3,33.68000000000393,6.352242,0,0,20791357440,0.9949243176265914,2,2,1082,/reachable?network=everything&index=85194ad3fffffff&departure_h=8&budget_h=0.5&max_walk_h=0.0&metric=accessible_population&encoding=split&distance_mode=itinerary&origin_radius=2&exclude_origin_population=false&window_h=0.26666666666666666&step_h=0.016666666666666666&window_mode=reachable_union
everything,5,London,test,3,631.245999999976,191.043251,0,0,20792233984,2.401309638956275,3,3,7178,/reachable?network=everything&index=85194ad3fffffff&departure_h=17&budget_h=3.0&max_walk_h=0.1&metric=accessible_population&encoding=string&distance_mode=straight_line&origin_radius=10&exclude_origin_population=true&window_h=1.6&step_h=0.016666666666666666&window_mode=mean_intersection
everything,6,Paris,train,0,2.0360000000323453,0.580382,0,0,20581785600,30.952028179016764,1,0,1202,/reachable?network=everything&index=861fb4667ffffff&departure_h=8&budget_h=0.0&max_walk_h=0.0&metric=time&encoding=split&distance_mode=itinerary
everything,6,Paris,train,0,3.045999999983451,1.5714489999999999,0,0,20581789696,17.152322492143384,1,0,12818,/reachable?network=everything&index=861fb4667ffffff&departure_h=17&budget_h=0.5&max_walk_h=0.1&metric=time_distance_quantile&encoding=string&distance_mode=straight_line
everything,6,Paris,train,1,5.8300000000031105,2.521704,0,0,20581871616,5.619216219914526,2,0,7410,/reachable?network=everything&index=861fb4667ffffff&departure_h=8&budget_h=0.25&max_walk_h=0.1&metric=time&encoding=split&distance_mode=itinerary&window_h=0.06666666666666667&step_h=0.016666666666666666&window_mode=mean_intersection
