res,origin,departure,budget,fp_cells,fn_cells,fp_population,fn_population
7,881f89a23bfffff,28800000,10800000,24,5325,2499.0,1.371453e6
7,881f89a36bfffff,28800000,10800000,4,6465,396.0,1.218411e6
7,881f89a767fffff,28800000,10800000,374,3597,58230.0,282034.0
7,881f89a8b5fffff,28800000,10800000,102,4883,12816.0,1.05504e6
7,881f89a9b7fffff,28800000,10800000,0,0,0.0,0.0
7,881f89aa85fffff,28800000,10800000,209,7216,38384.0,1.32041e6
7,881f89ac03fffff,28800000,10800000,0,5325,0.0,1.224548e6
7,881f89ace1fffff,28800000,10800000,8,5611,81.0,1.29839e6
7,881f89adcdfffff,28800000,10800000,7,3897,124.0,669344.0
7,881f89aea1fffff,28800000,10800000,8,6742,81.0,1.56892e6
7,881f89af5dfffff,28800000,10800000,259,9909,35622.0,2.217499e6
7,881f89b9ddfffff,28800000,10800000,0,0,0.0,0.0
7,881e14db65fffff,28800000,21600000,106,43153,1846.0,3.848015e6
7,881f8932d7fffff,28800000,21600000,309,16618,14915.0,897770.0
7,881f89a0a1fffff,28800000,21600000,307,16729,14911.0,910235.0
7,881f89a15dfffff,28800000,21600000,42,27652,324.0,2.161065e6
7,881f89a23bfffff,28800000,21600000,76,32791,4671.0,3.018429e6
7,881f89a36bfffff,28800000,21600000,20,32198,195.0,2.551373e6
7,881f89a767fffff,28800000,21600000,307,16655,14911.0,898315.0
7,881f89a8b5fffff,28800000,21600000,55,28097,3153.0,2.577019e6
7,881f89a9b7fffff,28800000,21600000,0,0,0.0,0.0
7,881f89aa85fffff,28800000,21600000,266,19221,13053.0,1.339749e6
7,881f89ac03fffff,28800000,21600000,122,31196,10942.0,2.691887e6
7,881f89ace1fffff,28800000,21600000,7,47844,115.0,5.654305e6
7,881f89adcdfffff,28800000,21600000,192,24335,14135.0,1.788271e6
7,881f89aea1fffff,28800000,21600000,20,32885,195.0,2.984722e6
7,881f89af5dfffff,28800000,21600000,81,24298,5026.0,2.032189e6
7,881f89b9ddfffff,28800000,21600000,0,0,0.0,0.0
7,881e14db65fffff,84600000,10800000,21,317,1691.0,23394.0
7,881f8932d7fffff,84600000,10800000,57,1240,6854.0,132942.0
7,881f89a0a1fffff,84600000,10800000,73,550,9624.0,56920.0
7,881f89a15dfffff,84600000,10800000,27,1148,5590.0,106774.0
7,881f89a23bfffff,84600000,10800000,92,26,18052.0,2782.0
7,881f89a36bfffff,84600000,10800000,11,948,1052.0,157266.0
7,881f89a767fffff,84600000,10800000,208,359,38235.0,60415.0
7,881f89a8b5fffff,84600000,10800000,24,1590,5278.0,157708.0
7,881f89a9b7fffff,84600000,10800000,0,0,0.0,0.0
7,881f89aa85fffff,84600000,10800000,178,1473,37967.0,165909.0
7,881f89ac03fffff,84600000,10800000,6,1064,515.0,118026.0
7,881f89ace1fffff,84600000,10800000,7,44,425.0,2586.0
7,881f89adcdfffff,84600000,10800000,36,1354,6135.0,143055.0
7,881f89aea1fffff,84600000,10800000,24,162,10156.0,85465.0
7,881f89af5dfffff,84600000,10800000,176,1415,37648.0,166179.0
7,881f89b9ddfffff,84600000,10800000,0,0,0.0,0.0
7,881e14db65fffff,84600000,21600000,85,2440,4861.0,544847.0
7,881f8932d7fffff,84600000,21600000,624,1213,97906.0,167749.0
7,881f89a0a1fffff,84600000,21600000,616,864,97817.0,143880.0
7,881f89a15dfffff,84600000,21600000,563,1172,94959.0,164549.0
7,881f89a23bfffff,84600000,21600000,526,711,106481.0,75184.0
