city,res,origins,departure,budget,samples,mode,exclude,variant,fine_mean,actual_mean,bias,wmae,abs_relative_p50,abs_relative_p95,min_signed,max_signed,zero_fine,zero_max_abs
Vienna,7,127,84600000,21600000,96,mean_intersection,true,free,3.826949094488189e6,4.0115429921259843e6,184593.89763779528,0.048235263412220175,0.04576463780975111,0.07561782695984695,132456.0,310405.0,0,0.0
Vienna,7,127,84600000,21600000,96,mean_intersection,true,walking,3.826949094488189e6,3.588947125984252e6,-238001.968503937,0.062191046347264536,0.05994155934174103,0.12036716161287149,-519244.0,-68363.0,0,0.0
Vienna,7,127,72000000,10800000,96,reachable_union,false,free,5.011754337926506e6,5.489807210629923e6,478052.8727034198,0.09538633390023718,0.09400599714512985,0.14547512256737855,266157.9375000112,771269.1250000019,0,0.0
Vienna,7,127,72000000,10800000,96,reachable_union,false,walking,5.011754337926506e6,4.259083183891073e6,-752671.1540354297,0.15018117475144033,0.15138801247426212,0.19456555454862423,-1.0338024895833293e6,-401902.88541662507,0,0.0
Vienna-moved,7,127,84600000,10800000,4,reachable_union,false,free,3.604242466535433e6,3.959894679133858e6,355652.2125984252,0.09867599527517215,0.09474640938713047,0.1504227354915156,193881.25,652575.75,0,0.0
Vienna-moved,7,127,84600000,10800000,4,reachable_union,false,walking,3.604242466535433e6,3.1213218897637795e6,-482920.57677165355,0.13398670629278153,0.13945464833059604,0.193046321801174,-729871.25,-181640.0,0,0.0
Vienna,6,127,28800000,10800000,4,mean_intersection,false,free,4.991509133858268e6,6.341034826771653e6,1.3495256929133858e6,0.2703642639375976,0.27199312416057825,0.3576646621501395,942994.0,1.823256e6,0,0.0
Vienna,6,127,28800000,10800000,4,mean_intersection,false,zero,4.991509133858268e6,6.341034826771653e6,1.3495256929133858e6,0.2703642639375976,0.27199312416057825,0.3576646621501395,942994.0,1.823256e6,0,0.0
Vienna,6,127,28800000,10800000,4,mean_intersection,false,walking,4.991509133858268e6,3.874024748031496e6,-1.1174843858267716e6,0.22387705919371803,0.2222395057059961,0.2701786045040585,-1.637205e6,-645719.0,0,0.0
Vienna,6,127,28800000,10800000,4,mean_intersection,false,independent,4.991509133858268e6,3.805993771653543e6,-1.1855153622047245e6,0.23750639945005192,0.23600616064394409,0.28527662061633496,-1.648761e6,-744148.0,0,0.0
Vienna,6,127,28800000,10800000,96,mean_intersection,false,free,2.4033908582677166e6,2.6432530078740157e6,239862.1496062992,0.09980155694658163,0.09749842856746263,0.11818729672168138,200824.0,287210.0,0,0.0
Vienna,6,127,28800000,10800000,96,mean_intersection,false,walking,2.4033908582677166e6,2.308444157480315e6,-94946.70078740157,0.03950530995022423,0.04111647076909015,0.05570116484704263,-142223.0,-3215.0,0,0.0
Vienna,6,1027,28800000,10800000,96,mean_intersection,false,free,2.1492190993184033e6,2.4639571694255113e6,314738.0701071081,0.1464429895523091,0.11609681290174816,0.24754550170790512,0.0,2.162061e6,0,0.0
Vienna,6,1027,28800000,10800000,96,mean_intersection,false,walking,2.1492190993184033e6,2.1392861441090554e6,-9932.955209347614,0.0341131447342133,0.022071549310529744,0.0724400461440397,-389580.0,1.375878e6,0,0.0
Vienna,6,127,28800000,10800000,1,mean_intersection,false,free,5.503276338582677e6,6.672921905511811e6,1.1696455669291338e6,0.21253622296393102,0.26032312968104904,0.2690937244126336,659228.0,1.597262e6,0,0.0
Vienna,6,127,28800000,10800000,1,mean_intersection,false,walking,5.503276338582677e6,4.536610125984252e6,-966666.2125984252,0.17565285715733875,0.1589987817761455,0.2943804357146703,-1.988244e6,-425207.0,0,0.0
Vienna,6,127,84600000,21600000,96,mean_intersection,true,free,3.826949094488189e6,4.486591818897638e6,659642.7244094488,0.17236778125936075,0.1693644353138537,0.19204319288749125,512719.0,785083.0,0,0.0
Vienna,6,127,84600000,21600000,96,mean_intersection,true,walking,3.826949094488189e6,3.1590772913385825e6,-667871.8031496063,0.1745180786730393,0.17456959716970868,0.24267340741688054,-1.120499e6,-442746.0,0,0.0
Vienna,6,127,72000000,10800000,96,reachable_union,false,free,5.011754337926506e6,6.052513613435038e6,1.0407592755085338e6,0.20766366532225583,0.20600913640263005,0.2716048452658614,784511.4166666726,1.3918064062499972e6,0,0.0
Vienna,6,127,72000000,10800000,96,reachable_union,false,walking,5.011754337926506e6,4.044898167814962e6,-966856.1701115413,0.19291771003116545,0.1985358993792478,0.24841970645330733,-1.3726309270833218e6,-452183.84374999907,0,0.0
Vienna-moved,6,127,84600000,10800000,4,reachable_union,false,free,3.604242466535433e6,4.440304818897638e6,836062.3523622047,0.2319661787809373,0.2197473927189745,0.3034563334072754,630646.5,1.236239e6,0,0.0
Vienna-moved,6,127,84600000,10800000,4,reachable_union,false,walking,3.604242466535433e6,2.871990529527559e6,-732251.937007874,0.20316389471759067,0.21430775277761474,0.27245392525802437,-1.15315275e6,-327790.25,0,0.0
Salzburg,7,127,28800000,10800000,4,mean_intersection,false,free,2.668782803149606e6,3.922321196850394e6,1.2535383937007873e6,0.4697041633442048,0.47694123350875745,0.9056289642905386,207111.0,2.669201e6,0,0.0
Salzburg,7,127,28800000,10800000,4,mean_intersection,false,zero,2.668782803149606e6,3.922321196850394e6,1.2535383937007873e6,0.4697041633442048,0.47694123350875745,0.9056289642905386,207111.0,2.669201e6,0,0.0
Salzburg,7,127,28800000,10800000,4,mean_intersection,false,walking,2.668782803149606e6,1.9232096771653544e6,-745573.125984252,0.27936822925580607,0.28106881702772113,0.4986161101135297,-1.425079e6,-197025.0,0,0.0
Salzburg,7,127,28800000,10800000,4,mean_intersection,false,independent,2.668782803149606e6,1.897624598425197e6,-771158.2047244095,0.28895502616935137,0.28449929410923736,0.5027010609677737,-1.447598e6,-218197.0,0,0.0
Salzburg,7,127,28800000,10800000,96,mean_intersection,false,free,355203.0787401575,387423.2834645669,32220.20472440945,0.09070924958952727,0.07585699589025761,0.18661513205907035,11192.0,82378.0,0,0.0
Salzburg,7,127,28800000,10800000,96,mean_intersection,false,walking,355203.0787401575,283332.6692913386,-71870.4094488189,0.20233611066584933,0.20480977997814995,0.27425861813753605,-122068.0,-16584.0,0,0.0
Salzburg,7,1027,28800000,10800000,96,mean_intersection,false,free,171198.09152872444,212712.07010710807,41513.97857838364,0.24249089582530906,0.12411989223874324,2.8195920481458794,0.0,228793.0,0,0.0
Salzburg,7,1027,28800000,10800000,96,mean_intersection,false,walking,171198.09152872444,144172.93378773125,-27025.157740993185,0.18068863324423487,0.1126997449824575,0.49815648306970506,-162122.0,80259.0,0,0.0
Salzburg,7,127,28800000,10800000,1,mean_intersection,false,free,3.737973275590551e6,5.3493322362204725e6,1.6113589606299212e6,0.43107824530268946,0.48097554798804804,0.9766228563649082,211664.0,3.518518e6,0,0.0
Salzburg,7,127,28800000,10800000,1,mean_intersection,false,walking,3.737973275590551e6,2.4369042677165354e6,-1.3010690078740157e6,0.3480680336507927,0.3713973279498416,0.5919635676694252,-3.168775e6,-214855.0,0,0.0
Salzburg,7,127,84600000,21600000,96,mean_intersection,true,free,1.1972151653543308e6,1.355340472440945e6,158125.30708661416,0.1320776011384846,0.12322835163967158,0.234275624508083,74196.0,359064.0,0,0.0
Salzburg,7,127,84600000,21600000,96,mean_intersection,true,walking,1.1972151653543308e6,1.078798409448819e6,-118416.75590551182,0.10367116664167209,0.10669505028581322,0.16288987452015974,-255687.0,142877.0,0,0.0
Salzburg,7,127,72000000,10800000,96,reachable_union,false,free,2.701428463582676e6,3.8274443864829387e6,1.1260159229002635e6,0.4168224100988867,0.44530749295744354,0.6170913435716705,432540.7395833372,1.5816529374999958e6,0,0.0
Salzburg,7,127,72000000,10800000,96,reachable_union,false,walking,2.701428463582676e6,1.8238100438812335e6,-877618.4197014417,0.3248719821873538,0.3430146091517101,0.46350498926462025,-1.6101485520833156e6,-239427.14583333302,0,0.0
Salzburg-moved,7,127,84600000,10800000,4,reachable_union,false,free,668195.0551181103,775847.0649606299,107652.00984251969,0.16110865984108652,0.07254341887610732,0.4114249603948619,16049.75,391409.75,0,0.0
Salzburg-moved,7,127,84600000,10800000,4,reachable_union,false,walking,668195.0551181103,492826.73818897636,-175368.31692913387,0.2624507852697828,0.2985756421378192,0.3840103143516085,-360712.25,-74850.5,0,0.0
Salzburg,6,127,28800000,10800000,4,mean_intersection,false,free,2.668782803149606e6,5.102594283464567e6,2.4338114803149607e6,0.911955621657431,0.8870559351948228,1.273405221732306,806563.0,3.540523e6,0,0.0
Salzburg,6,127,28800000,10800000,4,mean_intersection,false,zero,2.668782803149606e6,5.102594283464567e6,2.4338114803149607e6,0.911955621657431,0.8870559351948228,1.273405221732306,806563.0,3.540523e6,0,0.0
Salzburg,6,127,28800000,10800000,4,mean_intersection,false,walking,2.668782803149606e6,2.000775937007874e6,-668006.8661417323,0.2515268985640615,0.23105317126536248,0.48220658350049284,-1.633546e6,119544.0,0,0.0
Salzburg,6,127,28800000,10800000,4,mean_intersection,false,independent,2.668782803149606e6,1.9511965118110236e6,-717586.2913385826,0.2693516188936715,0.2391870640305469,0.49701509632698826,-1.634958e6,79672.0,0,0.0
