city,radius,samples,step_ms,mode,origin,fine,coarse,signed_error
Paris,18,96,900000,mean_intersection,881fb42907fffff,1.1059029e7,1.0746024e7,-313005.0
Paris,18,96,900000,mean_intersection,881fb42909fffff,1.1074036e7,1.0688934e7,-385102.0
Paris,18,96,900000,mean_intersection,881fb4290bfffff,1.0960215e7,1.0442184e7,-518031.0
Paris,18,96,900000,mean_intersection,881fb4290dfffff,1.1061045e7,1.0654801e7,-406244.0
Paris,18,96,900000,mean_intersection,881fb42911fffff,1.0817054e7,1.0470766e7,-346288.0
Paris,18,96,900000,mean_intersection,881fb42913fffff,1.0697962e7,1.0376008e7,-321954.0
Paris,18,96,900000,mean_intersection,881fb42915fffff,1.0932388e7,1.0653294e7,-279094.0
Paris,18,96,900000,mean_intersection,881fb42917fffff,1.0833428e7,1.046788e7,-365548.0
Paris,18,96,900000,mean_intersection,881fb42919fffff,1.0895485e7,1.0672393e7,-223092.0
Paris,18,96,900000,mean_intersection,881fb4291bfffff,1.0813269e7,1.0381045e7,-432224.0
Paris,18,96,900000,mean_intersection,881fb4291dfffff,1.1004788e7,1.0679361e7,-325427.0
Paris,18,96,900000,mean_intersection,881fb42921fffff,1.1155072e7,1.0642295e7,-512777.0
Paris,18,96,900000,mean_intersection,881fb42923fffff,1.1174283e7,1.0691731e7,-482552.0
Paris,18,96,900000,mean_intersection,881fb42925fffff,1.1243223e7,1.0825576e7,-417647.0
Paris,18,96,900000,mean_intersection,881fb42927fffff,1.1204788e7,1.072966e7,-475128.0
Paris,18,96,900000,mean_intersection,881fb42929fffff,1.0908986e7,1.0647488e7,-261498.0
Paris,18,96,900000,mean_intersection,881fb4292bfffff,1.1146019e7,1.0613615e7,-532404.0
Paris,18,96,900000,mean_intersection,881fb4292dfffff,1.0957821e7,1.0664346e7,-293475.0
Paris,18,96,900000,mean_intersection,881fb42931fffff,1.0896981e7,1.0708248e7,-188733.0
Paris,18,96,900000,mean_intersection,881fb42933fffff,1.0866957e7,1.0640567e7,-226390.0
Paris,18,96,900000,mean_intersection,881fb42935fffff,1.1149086e7,1.0669044e7,-480042.0
Paris,18,96,900000,mean_intersection,881fb42937fffff,1.0980837e7,1.0734474e7,-246363.0
Paris,18,96,900000,mean_intersection,881fb42939fffff,1.1049012e7,1.0751246e7,-297766.0
Paris,18,96,900000,mean_intersection,881fb4293bfffff,1.0979241e7,1.0702742e7,-276499.0
Paris,18,96,900000,mean_intersection,881fb4293dfffff,1.0852431e7,1.0503889e7,-348542.0
Paris,18,96,900000,mean_intersection,881fb42941fffff,1.0746748e7,1.0550259e7,-196489.0
Paris,18,96,900000,mean_intersection,881fb42943fffff,1.0925297e7,1.048033e7,-444967.0
Paris,18,96,900000,mean_intersection,881fb42945fffff,1.1009539e7,1.0541111e7,-468428.0
Paris,18,96,900000,mean_intersection,881fb42947fffff,1.0955278e7,1.046434e7,-490938.0
Paris,18,96,900000,mean_intersection,881fb42949fffff,1.0633513e7,1.0436721e7,-196792.0
Paris,18,96,900000,mean_intersection,881fb4294bfffff,1.073445e7,1.056447e7,-169980.0
Paris,18,96,900000,mean_intersection,881fb4294dfffff,1.0946665e7,1.0496273e7,-450392.0
Paris,18,96,900000,mean_intersection,881fb42951fffff,1.0949134e7,1.0377709e7,-571425.0
Paris,18,96,900000,mean_intersection,881fb42953fffff,1.0862743e7,1.0426695e7,-436048.0
Paris,18,96,900000,mean_intersection,881fb42955fffff,1.1050486e7,1.0677618e7,-372868.0
Paris,18,96,900000,mean_intersection,881fb42957fffff,1.0982567e7,1.0667159e7,-315408.0
Paris,18,96,900000,mean_intersection,881fb42959fffff,1.0686061e7,1.0301785e7,-384276.0
Paris,18,96,900000,mean_intersection,881fb4295bfffff,1.0696328e7,1.0558979e7,-137349.0
Paris,18,96,900000,mean_intersection,881fb4295dfffff,1.0964938e7,1.0441759e7,-523179.0
Paris,18,96,900000,mean_intersection,881fb42961fffff,1.1079423e7,1.0672151e7,-407272.0
Paris,18,96,900000,mean_intersection,881fb42963fffff,1.1071064e7,1.0745428e7,-325636.0
Paris,18,96,900000,mean_intersection,881fb42965fffff,1.107855e7,1.079845e7,-280100.0
Paris,18,96,900000,mean_intersection,881fb42967fffff,1.1169184e7,1.0851172e7,-318012.0
Paris,18,96,900000,mean_intersection,881fb42969fffff,1.1195009e7,1.0697403e7,-497606.0
Paris,18,96,900000,mean_intersection,881fb4296bfffff,1.1035594e7,1.0671924e7,-363670.0
Paris,18,96,900000,mean_intersection,881fb4296dfffff,1.1214541e7,1.0686302e7,-528239.0
Paris,18,96,900000,mean_intersection,881fb42981fffff,1.0382991e7,1.0417495e7,34504.0
Paris,18,96,900000,mean_intersection,881fb42983fffff,1.0477566e7,1.0363138e7,-114428.0
Paris,18,96,900000,mean_intersection,881fb42985fffff,1.0646218e7,1.0408464e7,-237754.0
Paris,18,96,900000,mean_intersection,881fb42987fffff,1.0518117e7,1.0234135e7,-283982.0
Paris,18,96,900000,mean_intersection,881fb42989fffff,1.0475945e7,1.0380209e7,-95736.0
Paris,18,96,900000,mean_intersection,881fb4298bfffff,1.0360044e7,1.0383624e7,23580.0
Paris,18,96,900000,mean_intersection,881fb4298dfffff,1.0507361e7,1.0458923e7,-48438.0
Paris,18,96,900000,mean_intersection,881fb429a1fffff,1.0849355e7,1.0591309e7,-258046.0
Paris,18,96,900000,mean_intersection,881fb429a3fffff,1.0697131e7,1.052364e7,-173491.0
Paris,18,96,900000,mean_intersection,881fb429a5fffff,1.0752941e7,1.052037e7,-232571.0
Paris,18,96,900000,mean_intersection,881fb429a7fffff,1.0536926e7,1.0338589e7,-198337.0
Paris,18,96,900000,mean_intersection,881fb429a9fffff,1.0665734e7,1.04847e7,-181034.0
Paris,18,96,900000,mean_intersection,881fb429abfffff,1.034547e7,1.0182618e7,-162852.0
Paris,18,96,900000,mean_intersection,881fb429adfffff,1.0858201e7,1.0647939e7,-210262.0
Paris,18,96,900000,mean_intersection,881fb429b1fffff,1.0558892e7,1.0528707e7,-30185.0
Paris,18,96,900000,mean_intersection,881fb429b5fffff,1.0554948e7,1.0476838e7,-78110.0
Paris,18,96,900000,mean_intersection,881fb429b7fffff,1.0231911e7,1.0392946e7,161035.0
Paris,18,96,900000,mean_intersection,881fb429b9fffff,1.0374097e7,1.024994e7,-124157.0
Paris,18,96,900000,mean_intersection,881fb429bdfffff,1.0570663e7,1.0451575e7,-119088.0
Paris,18,96,900000,mean_intersection,881fb429c1fffff,1.0757996e7,1.0345422e7,-412574.0
Paris,18,96,900000,mean_intersection,881fb429c3fffff,1.0626184e7,1.0479051e7,-147133.0
Paris,18,96,900000,mean_intersection,881fb429c5fffff,1.0785186e7,1.0441195e7,-343991.0
Paris,18,96,900000,mean_intersection,881fb429c7fffff,1.0617913e7,1.0485485e7,-132428.0
Paris,18,96,900000,mean_intersection,881fb429c9fffff,1.0813527e7,1.0299871e7,-513656.0
Paris,18,96,900000,mean_intersection,881fb429cbfffff,1.0799291e7,1.0376265e7,-423026.0
Paris,18,96,900000,mean_intersection,881fb429cdfffff,1.0653769e7,1.0429096e7,-224673.0
Paris,18,96,900000,mean_intersection,881fb429d5fffff,1.0367739e7,1.0319313e7,-48426.0
Paris,18,96,900000,mean_intersection,881fb429ddfffff,1.0592795e7,1.010007e7,-492725.0
Paris,18,96,900000,mean_intersection,881fb429e1fffff,1.0882707e7,1.0509213e7,-373494.0
