city,radius,origins,departure_ms,budget_h,samples,mode,exclude,core,fine_mean,coarse_mean,bias,mae,wmae,relative_p50,relative_p95,relative_max,zero_baselines,zero_max_abs,min_signed_error,varying_fine_parents,varying_coarse_parents,within_parent_correlation,rank_correlation
Vienna,6,127,84600000,6,96,mean_intersection,true,7,3.826949094488189e6,4.0115429921259843e6,184593.89763779528,184593.89763779528,0.048235263412220175,0.04576463780975111,0.07561782695984695,0.08428178225945936,0,0.0,132456.0,24,24,0.6991608266055123,0.8755331364829396
Vienna,6,127,84600000,6,96,mean_intersection,true,6,3.826949094488189e6,4.486591818897638e6,659642.7244094488,659642.7244094488,0.17236778125936075,0.1693644353138537,0.19204319288749125,0.21534824559639365,0,0.0,512719.0,6,6,0.7636784033270281,0.6032809393535269
Vienna,18,1027,28800000,3,96,reachable_union,false,7,4.388533655641431e6,5.020479540916101e6,631945.885274669,631945.885274669,0.14399932525578488,0.1442854201224926,0.21023006554334112,0.24426032387749375,0,0.0,266157.93750000186,162,162,0.9007535784553136,0.96735591639119
Vienna,18,1027,28800000,3,96,reachable_union,false,6,4.388533655641431e6,5.699947509838528e6,1.3114138541970958e6,1.3114138541970958e6,0.2988273435048816,0.3088027997374191,0.4039024082153345,0.48439583770871364,0,0.0,784511.4166666586,30,30,0.8547427659094418,0.9372017787055987
Vienna-moved,18,1027,84600000,3,4,reachable_union,false,7,3.1176475873904577e6,3.483009453261928e6,365361.8658714703,365361.8658714703,0.11719152201461183,0.11275566552228966,0.18900403937052912,0.9225407227624178,0,0.0,0.0,162,162,0.885059585563728,0.9617830793437069
Vienna-moved,18,1027,84600000,3,4,reachable_union,false,6,3.1176475873904577e6,3.991094483446933e6,873446.8960564751,873446.8960564751,0.2801621644438556,0.2799267201710028,0.39895313186315806,1.5548359107569654,0,0.0,0.0,30,30,0.8641556625600304,0.9276582719475306
Salzburg,6,127,28800000,3,96,mean_intersection,false,7,355203.0787401575,387423.2834645669,32220.20472440945,32220.20472440945,0.09070924958952727,0.07585699589025761,0.18661513205907035,0.2754453777016906,0,0.0,11192.0,23,23,0.8181148121057789,0.9066540631714466
Salzburg,6,127,28800000,3,96,mean_intersection,false,6,355203.0787401575,467405.3070866142,112202.22834645669,112202.22834645669,0.31588191393052717,0.3118654007260542,0.4994203479238938,0.6544557308551258,0,0.0,73790.0,6,6,0.6351240385031667,0.718300673279897
Salzburg,18,1027,28800000,3,96,mean_intersection,false,7,171198.09152872444,212712.07010710807,41513.97857838364,41513.97857838364,0.24249089582530906,0.12411989223874324,2.8195920481458794,7.011036508602602,0,0.0,0.0,162,162,0.8360730408137156,0.9779564952732133
Salzburg,18,1027,28800000,3,96,mean_intersection,false,6,171198.09152872444,317595.57740993187,146397.4858812074,146397.4858812074,0.8551350343566425,0.4487624910878988,13.39460295432412,49.689750692520775,0,0.0,0.0,27,27,0.6792359846536696,0.8653878339194306
Salzburg,6,127,28800000,3,1,mean_intersection,false,7,3.737973275590551e6,5.3493322362204725e6,1.6113589606299212e6,1.6113589606299212e6,0.43107824530268946,0.48097554798804804,0.9766228563649082,1.3764793605438133,0,0.0,211664.0,22,21,0.4220699247238467,0.7949326108947875
Salzburg,6,127,28800000,3,1,mean_intersection,false,6,3.737973275590551e6,6.367894897637796e6,2.629921622047244e6,2.629921622047244e6,0.7035688669100372,0.9150501645412997,1.2793360540683492,1.6776578414911048,0,0.0,737813.0,6,6,0.5424505664929583,0.8045964472791182
Salzburg,6,127,28800000,3,4,mean_intersection,false,7,2.668782803149606e6,3.922321196850394e6,1.2535383937007873e6,1.2535383937007873e6,0.4697041633442048,0.47694123350875745,0.9056289642905386,1.0758066128306778,0,0.0,207111.0,23,22,0.4286521920943908,0.8526753070829067
Salzburg,6,127,28800000,3,4,mean_intersection,false,6,2.668782803149606e6,5.102594283464567e6,2.4338114803149607e6,2.4338114803149607e6,0.911955621657431,0.8870559351948228,1.273405221732306,1.4310601017835725,0,0.0,806563.0,6,6,0.6314610602113979,0.8338534229531663
Salzburg,6,127,72000000,3,96,reachable_union,false,7,2.7014284635826778e6,3.827444386482942e6,1.1260159229002642e6,1.1260159229002642e6,0.41682241009888665,0.4453074929574487,0.6170913435716743,0.727325453354808,0,0.0,432540.7395833344,24,24,0.782033198750352,0.9193089145106863
Salzburg,6,127,72000000,3,96,reachable_union,false,6,2.7014284635826778e6,4.654251417568898e6,1.952822953986221e6,1.952822953986221e6,0.7228853106094677,0.7638009117685066,1.06920547472332,1.276281801792642,0,0.0,1.3881336145833395e6,6,6,0.7989021451325615,0.9036429040119984
