city,radius,origins,departure_ms,budget_h,samples,mode,exclude,core,pair,wall_s,cpu_s,bytes,gc_s,compile_s,rss_bytes,external_cores,shared,independent
Salzburg,6,127,28800000,3,96,mean_intersection,false,6,3,0.188637008,1.1173189999999522,25687208,0.0,0.0,5160321024,0.597343020293434,1163282,7499283
Salzburg,18,1027,28800000,3,96,mean_intersection,false,8,0,6.368554583,44.2260960000001,79217128,0.0,0.0,5160255488,0.6098564359255854,48786928,191556889
Salzburg,18,1027,28800000,3,96,mean_intersection,false,7,0,2.452564037,17.255132999999887,46600288,0.0,0.0,5160255488,0.6584402998792958,23339107,96978773
Salzburg,18,1027,28800000,3,96,mean_intersection,false,6,0,1.125721501,8.160859000000073,30176152,0.0,0.0,5160255488,0.541111633171283,10081968,42761041
Salzburg,18,1027,28800000,3,96,mean_intersection,false,6,1,1.128799612,8.110850999999911,30176152,0.0,0.0,5160255488,0.5750790424699418,10081968,42761041
Salzburg,18,1027,28800000,3,96,mean_intersection,false,8,1,6.422666106,44.16058300000009,79439120,0.0,0.0,5160255488,0.6694131267485002,48786928,191556889
Salzburg,18,1027,28800000,3,96,mean_intersection,false,7,1,2.449926784,17.183939999999893,46626504,0.0,0.0,5160255488,0.6718813030759586,23339107,96978773
Salzburg,18,1027,28800000,3,96,mean_intersection,false,7,2,2.41492125,17.24013500000001,46574176,0.0,0.0,5160255488,0.654209738750356,23339107,96978773
Salzburg,18,1027,28800000,3,96,mean_intersection,false,6,2,1.146768953,8.121843000000126,30176152,0.0,0.0,5160255488,0.6872849129466012,10081968,42761041
Salzburg,18,1027,28800000,3,96,mean_intersection,false,8,2,6.452781454,44.29621799999995,77831328,0.0,0.0,5160255488,0.7351530551366632,48786928,191556889
Salzburg,18,1027,28800000,3,96,mean_intersection,false,8,3,6.520453019,44.32871900000009,79493176,0.0,0.0,5160271872,0.7087361854287355,48786928,191556889
Salzburg,18,1027,28800000,3,96,mean_intersection,false,7,3,2.394666341,17.14251800000011,46626504,0.0,0.0,5160271872,0.6086367754131337,23339107,96978773
Salzburg,18,1027,28800000,3,96,mean_intersection,false,6,3,1.172069003,8.134401999999909,29906080,0.0,0.0,5160271872,0.7555852067033139,10081968,42761041
Salzburg,6,127,28800000,3,1,mean_intersection,false,8,0,0.049500864,0.09136999999986983,23198512,0.0,0.0,5160271872,0.5783737430416074,38451,944078
Salzburg,6,127,28800000,3,1,mean_intersection,false,7,0,0.014247431,0.022832000000107655,7274448,0.0,0.0,5160271872,1.2049891687241896,17019,506210
Salzburg,6,127,28800000,3,1,mean_intersection,false,6,0,0.00535429,0.011102999999820895,5767288,0.0,0.0,5160271872,1.66165822523725,6309,191863
Salzburg,6,127,28800000,3,1,mean_intersection,false,6,1,0.007400819,0.010675999999875785,5767288,0.0,0.0,5160271872,2.6110623740512895,6309,191863
Salzburg,6,127,28800000,3,1,mean_intersection,false,8,1,0.058352466,0.10675199999991491,23198512,0.0,0.0,5160271872,1.9407577388785147,38451,944078
Salzburg,6,127,28800000,3,1,mean_intersection,false,7,1,0.015812336,0.030528000000003885,7274448,0.0,0.0,5160271872,2.4962788588092675,17019,506210
Salzburg,6,127,28800000,3,1,mean_intersection,false,7,2,0.01133045,0.022226000000046042,7274448,0.0,0.0,5160275968,0.6861157348466861,17019,506210
Salzburg,6,127,28800000,3,1,mean_intersection,false,6,2,0.005369458,0.008968999999979133,5767288,0.0,0.0,5160275968,2.054397300183244,6309,191863
Salzburg,6,127,28800000,3,1,mean_intersection,false,8,2,0.06818306,0.11370800000008785,23198512,0.0,0.0,5160275968,1.7055849370459615,38451,944078
Salzburg,6,127,28800000,3,1,mean_intersection,false,8,3,0.07642966,0.14074699999991935,23198512,0.0,0.0,5160275968,1.9528151756911942,38451,944078
Salzburg,6,127,28800000,3,1,mean_intersection,false,7,3,0.011153047,0.020758000000114407,7274448,0.0,0.0,5160275968,0.8286524774642544,17019,506210
Salzburg,6,127,28800000,3,1,mean_intersection,false,6,3,0.006166445,0.011684999999943102,5767288,0.0,0.0,5160280064,2.9701067678373154,6309,191863
Salzburg,6,127,28800000,3,4,mean_intersection,false,8,0,0.168837385,1.064779999999928,90780264,0.0,0.0,5160284160,0.7416603855870432,266976,4108905
Salzburg,6,127,28800000,3,4,mean_intersection,false,7,0,0.037664912,0.18755999999984851,36088600,0.0,0.0,5160284160,1.3922772470791451,118046,2020398
Salzburg,6,127,28800000,3,4,mean_intersection,false,6,0,0.014245557,0.07446899999990819,22388376,0.0,0.0,5160284160,0.3882614037613476,46347,740666
Salzburg,6,127,28800000,3,4,mean_intersection,false,6,1,0.0160279,0.0685280000000148,22388376,0.0,0.0,5160300544,1.339663966196709,46347,740666
Salzburg,6,127,28800000,3,4,mean_intersection,false,8,1,0.18945541,1.0639149999999518,90780264,0.0,0.0,5160300544,1.08777574576656,266976,4108905
Salzburg,6,127,28800000,3,4,mean_intersection,false,7,1,0.037159427,0.18706899999983762,36088600,0.0,0.0,5160300544,1.1553192136556878,118046,2020398
Salzburg,6,127,28800000,3,4,mean_intersection,false,7,2,0.040585343,0.17978599999992184,36088600,0.0,0.0,5160300544,0.990850316877659,118046,2020398
Salzburg,6,127,28800000,3,4,mean_intersection,false,6,2,0.01581024,0.06727900000009868,22388376,0.0,0.0,5160300544,0.17210365339766528,46347,740666
Salzburg,6,127,28800000,3,4,mean_intersection,false,8,2,0.166479781,1.0031509999998889,90780264,0.0,0.0,5160300544,1.0022178004042743,266976,4108905
Salzburg,6,127,28800000,3,4,mean_intersection,false,8,3,0.176543685,1.036442999999963,90780264,0.0,0.0,5160329216,1.0397256632096321,266976,4108905
Salzburg,6,127,28800000,3,4,mean_intersection,false,7,3,0.038429729,0.18882499999995161,36088600,0.0,0.0,5160329216,1.5918665468613735,118046,2020398
Salzburg,6,127,28800000,3,4,mean_intersection,false,6,3,0.014133474,0.06984400000010282,22388376,0.0,0.0,5160329216,1.4261178792490004,46347,740666
Salzburg,6,127,72000000,3,96,reachable_union,false,8,0,1.136852949,7.577142000000094,63094728,0.0,0.0,5160329216,0.8645427720479703,7637259,38134489
Salzburg,6,127,72000000,3,96,reachable_union,false,7,0,0.437618446,2.555751999999984,37807984,0.0,0.0,5160312832,0.9008943831253626,3064135,18933154
Salzburg,6,127,72000000,3,96,reachable_union,false,6,0,0.173252822,1.0814399999999296,23947824,0.0,0.0,5160280064,0.8574752103111138,1163253,7498348
Salzburg,6,127,72000000,3,96,reachable_union,false,6,1,0.18114184,1.074395000000095,23947824,0.0,0.0,5160263680,1.024639034301618,1163253,7498348
Salzburg,6,127,72000000,3,96,reachable_union,false,8,1,1.148391338,7.55375499999991,63094728,0.0,0.0,5160267776,0.8152665115197663,7637259,38134489
Salzburg,6,127,72000000,3,96,reachable_union,false,7,1,0.438911376,2.666834000000108,37807984,0.0,0.0,5160267776,1.1463954400712582,3064135,18933154
Salzburg,6,127,72000000,3,96,reachable_union,false,7,2,0.410684312,2.6341220000001613,37807984,0.0,0.0,5160267776,0.8178495992121049,3064135,18933154
Salzburg,6,127,72000000,3,96,reachable_union,false,6,2,0.224372881,1.083037000000104,23947824,0.0,0.0,5160267776,2.3931724618504115,1163253,7498348
Salzburg,6,127,72000000,3,96,reachable_union,false,8,2,1.185181638,7.6792870000001585,63094728,0.0,0.0,5160267776,0.8781042218373466,7637259,38134489
Salzburg,6,127,72000000,3,96,reachable_union,false,8,3,1.166060531,7.641841000000113,63094728,0.0,0.0,5160267776,0.9331925496595513,7637259,38134489
Salzburg,6,127,72000000,3,96,reachable_union,false,7,3,0.403539677,2.618020999999999,37807984,0.0,0.0,5160267776,0.8474482670578841,3064135,18933154
Salzburg,6,127,72000000,3,96,reachable_union,false,6,3,0.15600217,1.0794250000001284,23947824,0.0,0.0,5160267776,0.7088042433025614,1163253,7498348
Salzburg,6,127,84600000,6,96,mean_intersection,true,8,0,3.291031296,22.492607000000135,100100296,0.0,0.0,5160267776,0.7710023915943354,18685725,97081368
Salzburg,6,127,84600000,6,96,mean_intersection,true,7,0,1.030680823,6.807915000000094,54137360,0.0,0.0,5160267776,0.8170182089661229,6770889,41395742
Salzburg,6,127,84600000,6,96,mean_intersection,true,6,0,0.412326955,2.3155699999999797,31614528,0.0,0.0,5160267776,1.0778582254204883,2130169,13805978
Salzburg,6,127,84600000,6,96,mean_intersection,true,6,1,0.464367575,2.3379560000000765,31614528,0.0,0.0,5160267776,1.253412234999037,2130169,13805978
Salzburg,6,127,84600000,6,96,mean_intersection,true,8,1,3.281688425,22.420630000000074,100100296,0.0,0.0,5160267776,0.8103663893558136,18685725,97081368
Salzburg,6,127,84600000,6,96,mean_intersection,true,7,1,0.952404984,6.739016999999876,54137360,0.0,0.0,5160267776,0.3895223210908292,6770889,41395742
Salzburg,6,127,84600000,6,96,mean_intersection,true,7,2,0.999759711,6.745094999999992,54137360,0.0,0.0,5160267776,0.5050263522771702,6770889,41395742
Salzburg,6,127,84600000,6,96,mean_intersection,true,6,2,0.337856463,2.347391000000016,31614528,0.0,0.0,5160267776,0.45169773768685906,2130169,13805978
Salzburg,6,127,84600000,6,96,mean_intersection,true,8,2,3.125829162,22.242171999999982,100100296,0.0,0.0,5160267776,0.4247922490745497,18685725,97081368
Salzburg,6,127,84600000,6,96,mean_intersection,true,8,3,3.138586229,22.408506999999872,100100296,0.0,0.0,5160271872,0.4433502534324329,18685725,97081368
Salzburg,6,127,84600000,6,96,mean_intersection,true,7,3,0.979130603,6.8222820000000866,54137360,0.0,0.0,5160271872,0.45726075627373675,6770889,41395742
Salzburg,6,127,84600000,6,96,mean_intersection,true,6,3,0.356903108,2.3445819999999458,31614528,0.0,0.0,5160271872,0.7156508146092445,2130169,13805978
Salzburg,18,1027,28800000,3,96,reachable_union,false,8,0,6.229209223,43.95568000000003,78138968,0.0,0.0,5160271872,0.4822955679301828,48786928,191556889
Salzburg,18,1027,28800000,3,96,reachable_union,false,7,0,2.353978888,17.07586900000001,44836448,0.0,0.0,5160271872,0.44780817932494776,23339107,96978773
Salzburg,18,1027,28800000,3,96,reachable_union,false,6,0,1.075652721,7.8779189999997925,28168352,0.0,0.0,5160271872,0.4109885945850734,10081968,42761041
Salzburg,18,1027,28800000,3,96,reachable_union,false,6,1,1.091719115,7.842813999999862,28168352,0.0,0.0,5160271872,0.4554156771062322,10081968,42761041
Salzburg,18,1027,28800000,3,96,reachable_union,false,8,1,6.388487838,44.31162999999992,78415016,0.0,0.0,5160271872,0.5616931723152104,48786928,191556889
Salzburg,18,1027,28800000,3,96,reachable_union,false,7,1,2.384208513,17.023140000000012,44339216,0.0,0.0,5160271872,0.5103832124395551,23339107,96978773
Salzburg,18,1027,28800000,3,96,reachable_union,false,7,2,2.364823935,17.01559300000008,44862560,0.0,0.0,5160271872,0.5135295621833651,23339107,96978773
