case,variant,pair,wall_s,cpu_s,bytes,gc_s,compile_s,rss,maxrss,workers,shared,separate
near_B3600000_W900000,zero,0,0.010523711,0.010555999999951382,142802600,0.0,0.0,19140173824,29712605184,1,1467,15755
near_B3600000_W900000,fine,0,0.008578058,0.008642999999892709,142997040,0.0,0.0,19140173824,29712605184,1,3018,29781
near_B3600000_W900000,fixed,0,0.014970954,0.015362999999979365,228573672,0.0,0.0,19140173824,29712605184,1,5336,17288
near_B3600000_W900000,fixed,1,0.01264272,0.012347000000090702,228573672,0.0,0.0,19140173824,29712605184,1,5336,17288
near_B3600000_W900000,zero,1,0.008537445,0.008583000000044194,142802600,0.0,0.0,19140173824,29712605184,1,1467,15755
near_B3600000_W900000,fine,1,0.010143816,0.009471000000075946,142997040,0.0,0.0,19140173824,29712605184,1,3018,29781
near_B3600000_W900000,fine,2,0.009138817,0.008849999999938518,142997040,0.0,0.0,19140173824,29712605184,1,3018,29781
near_B3600000_W900000,fixed,2,0.017342626,0.012594000000035521,228573672,0.0,0.0,19140173824,29712605184,1,5336,17288
near_B3600000_W900000,zero,2,0.007519659,0.007609999999885986,142802600,0.0,0.0,19140173824,29712605184,1,1467,15755
near_B3600000_W900000,zero,3,0.006643248,0.006124999999883585,142802600,0.0,0.0,19140173824,29712605184,1,1467,15755
near_B3600000_W900000,fine,3,0.009875898,0.008148000000119282,142997040,0.0,0.0,19140173824,29712605184,1,3018,29781
near_B3600000_W900000,fixed,3,0.01693734,0.01763899999991736,228573672,0.0,0.0,19140173824,29712605184,1,5336,17288
moved_B900000_W180000,zero,0,0.00592177,0.0066259999998692365,142749312,0.0,0.0,19140173824,29712605184,1,127,320
moved_B900000_W180000,fine,0,0.005435114,0.0057110000000193395,142749360,0.0,0.0,19140173824,29712605184,1,127,320
moved_B900000_W180000,fixed,0,0.008765342,0.00839300000006915,228431976,0.0,0.0,19140173824,29712605184,1,294,426
moved_B900000_W180000,fixed,1,0.00734373,0.007677999999941676,228431976,0.0,0.0,19140173824,29712605184,1,294,426
moved_B900000_W180000,zero,1,0.004810234,0.005411999999978434,142749312,0.0,0.0,19140173824,29712605184,1,127,320
moved_B900000_W180000,fine,1,0.005093352,0.005675999999994019,142749360,0.0,0.0,19140173824,29712605184,1,127,320
moved_B900000_W180000,fine,2,0.004904024,0.005640999999968699,142749360,0.0,0.0,19140173824,29712605184,1,127,320
moved_B900000_W180000,fixed,2,0.009479838,0.009270999999898777,228431976,0.0,0.0,19140173824,29712605184,1,294,426
moved_B900000_W180000,zero,2,0.005118002,0.00536099999999351,142749312,0.0,0.0,19140173824,29712605184,1,127,320
moved_B900000_W180000,zero,3,0.005302006,0.005933999999797379,142749312,0.0,0.0,19140173824,29712605184,1,127,320
moved_B900000_W180000,fine,3,0.005816269,0.00575499999990825,142749360,0.0,0.0,19140173824,29712605184,1,127,320
moved_B900000_W180000,fixed,3,0.007673091,0.00755099999992126,228431976,0.0,0.0,19140173824,29712605184,1,294,426
moved_B900000_W360000,zero,0,0.004893993,0.00549500000010994,142749312,0.0,0.0,19140173824,29712605184,1,127,320
moved_B900000_W360000,fine,0,0.005155433,0.005497999999988679,142749360,0.0,0.0,19140173824,29712605184,1,127,320
moved_B900000_W360000,fixed,0,0.008432504,0.01066099999979997,228434440,0.0,0.0,19140173824,29712605184,1,294,426
moved_B900000_W360000,fixed,1,0.008399358,0.012744999999995343,228434440,0.0,0.0,19140173824,29712605184,1,294,426
moved_B900000_W360000,zero,1,0.005706346,0.006217999999989843,142749312,0.0,0.0,19140173824,29712605184,1,127,320
moved_B900000_W360000,fine,1,0.005294203,0.0058870000000297296,142749360,0.0,0.0,19140173824,29712605184,1,127,320
moved_B900000_W360000,fine,2,0.005523082,0.0061000000000603904,142749360,0.0,0.0,19140173824,29712605184,1,127,320
moved_B900000_W360000,fixed,2,0.010048279,0.011023000000022876,228434440,0.0,0.0,19140173824,29712605184,1,294,426
moved_B900000_W360000,zero,2,0.006010161,0.006120000000009895,142749312,0.0,0.0,19140173824,29712605184,1,127,320
moved_B900000_W360000,zero,3,0.005482307,0.0057990000000245345,142749312,0.0,0.0,19140173824,29712605184,1,127,320
moved_B900000_W360000,fine,3,0.005330138,0.005676999999877808,142749360,0.0,0.0,19140173824,29712605184,1,127,320
moved_B900000_W360000,fixed,3,0.007731316,0.01012100000002647,228434440,0.0,0.0,19140173824,29712605184,1,294,426
moved_B900000_W900000,zero,0,0.005073797,0.005607999999938329,142749312,0.0,0.0,19140173824,29712605184,1,127,320
moved_B900000_W900000,fine,0,0.005226285,0.005771000000095228,142780312,0.0,0.0,19140173824,29712605184,1,276,480
moved_B900000_W900000,fixed,0,0.007911279,0.010074999999915235,228450816,0.0,0.0,19140173824,29712605184,1,415,614
moved_B900000_W900000,fixed,1,0.010363331,0.010764000000108354,228450816,0.0,0.0,19140173824,29712605184,1,415,614
moved_B900000_W900000,zero,1,0.00645965,0.0064429999999902066,142749312,0.0,0.0,19140173824,29712605184,1,127,320
moved_B900000_W900000,fine,1,0.00687299,0.006900999999970736,142780312,0.0,0.0,19140173824,29712605184,1,276,480
moved_B900000_W900000,fine,2,0.005593714,0.005853000000115571,142780312,0.0,0.0,19140173824,29712605184,1,276,480
moved_B900000_W900000,fixed,2,0.008639135,0.011532999999872118,228450816,0.0,0.0,19140173824,29712605184,1,415,614
moved_B900000_W900000,zero,2,0.004878162,0.005312000000003536,142749312,0.0,0.0,19140173824,29712605184,1,127,320
moved_B900000_W900000,zero,3,0.005170991,0.0056240000001253065,142749312,0.0,0.0,19140173824,29712605184,1,127,320
moved_B900000_W900000,fine,3,0.005278962,0.005754000000024462,142780312,0.0,0.0,19140173824,29712605184,1,276,480
moved_B900000_W900000,fixed,3,0.008905772,0.014026000000058048,228450816,0.0,0.0,19140173824,29712605184,1,415,614
moved_B1800000_W180000,zero,0,0.005086343,0.0055190000000493455,142782776,0.0,0.0,19140173824,29712605184,1,439,2322
moved_B1800000_W180000,fine,0,0.005947672,0.006395000000111395,142782824,0.0,0.0,19140173824,29712605184,1,439,2322
moved_B1800000_W180000,fixed,0,0.008767635,0.00945000000001528,228457088,0.0,0.0,19140173824,29712605184,1,1244,2588
moved_B1800000_W180000,fixed,1,0.008880427,0.010514000000057422,228457088,0.0,0.0,19140173824,29712605184,1,1244,2588
moved_B1800000_W180000,zero,1,0.005463667,0.00586299999986295,142782776,0.0,0.0,19140173824,29712605184,1,439,2322
moved_B1800000_W180000,fine,1,0.005330237,0.005734000000074957,142782824,0.0,0.0,19140173824,29712605184,1,439,2322
moved_B1800000_W180000,fine,2,0.00541763,0.005762000000004264,142782824,0.0,0.0,19140173824,29712605184,1,439,2322
moved_B1800000_W180000,fixed,2,0.008685546,0.008305000000063956,228457088,0.0,0.0,19140173824,29712605184,1,1244,2588
moved_B1800000_W180000,zero,2,0.005126382,0.005542999999988751,142782776,0.0,0.0,19140173824,29712605184,1,439,2322
moved_B1800000_W180000,zero,3,0.005986743,0.006452999999964959,142782776,0.0,0.0,19140173824,29712605184,1,439,2322
moved_B1800000_W180000,fine,3,0.005165339,0.005562999999938256,142782824,0.0,0.0,19140173824,29712605184,1,439,2322
moved_B1800000_W180000,fixed,3,0.008289897,0.008843999999953667,228457088,0.0,0.0,19140173824,29712605184,1,1244,2588
moved_B1800000_W360000,zero,0,0.005094439,0.00549500000010994,142782776,0.0,0.0,19140173824,29712605184,1,439,2322
moved_B1800000_W360000,fine,0,0.005077263,0.0056019999999534775,142782824,0.0,0.0,19140173824,29712605184,1,439,2322
moved_B1800000_W360000,fixed,0,0.008116073,0.009351999999807958,228459552,0.0,0.0,19140194304,29712605184,1,1244,2588
moved_B1800000_W360000,fixed,1,0.008114921,0.008628000000044267,228459552,0.0,0.0,19140194304,29712605184,1,1244,2588
moved_B1800000_W360000,zero,1,0.005236295,0.005724999999983993,142782776,0.0,0.0,19140194304,29712605184,1,439,2322
moved_B1800000_W360000,fine,1,0.005441748,0.005912999999964086,142782824,0.0,0.0,19140194304,29712605184,1,439,2322
moved_B1800000_W360000,fine,2,0.005461654,0.005846000000019558,142782824,0.0,0.0,19140194304,29712605184,1,439,2322
moved_B1800000_W360000,fixed,2,0.008984898,0.011140999999952328,228459552,0.0,0.0,19140206592,29712605184,1,1244,2588
moved_B1800000_W360000,zero,2,0.006028193,0.006466000000045824,142782776,0.0,0.0,19140206592,29712605184,1,439,2322
moved_B1800000_W360000,zero,3,0.005870801,0.006288999999924272,142782776,0.0,0.0,19140206592,29712605184,1,439,2322
moved_B1800000_W360000,fine,3,0.005663224,0.006191999999828113,142782824,0.0,0.0,19140206592,29712605184,1,439,2322
moved_B1800000_W360000,fixed,3,0.00894168,0.009503999999878943,228459552,0.0,0.0,19140206592,29712605184,1,1244,2588
moved_B1800000_W900000,zero,0,0.005122306,0.005640999999968699,142782776,0.0,0.0,19140206592,29712605184,1,439,2322
moved_B1800000_W900000,fine,0,0.005866758,0.006026000000019849,142880192,0.0,0.0,19140206592,29712605184,1,881,3794
moved_B1800000_W900000,fixed,0,0.008764583,0.008536000000049171,228476064,0.0,0.0,19140206592,29712605184,1,1517,3151
moved_B1800000_W900000,fixed,1,0.00967667,0.01146300000004885,228476064,0.0,0.0,19140206592,29712605184,1,1517,3151
moved_B1800000_W900000,zero,1,0.005488435,0.006044999999858192,142782776,0.0,0.0,19140206592,29712605184,1,439,2322
moved_B1800000_W900000,fine,1,0.006159591,0.0066219999998793355,142880192,0.0,0.0,19140206592,29712605184,1,881,3794
moved_B1800000_W900000,fine,2,0.006159434,0.006049000000075466,142880192,0.0,0.0,19140206592,29712605184,1,881,3794
moved_B1800000_W900000,fixed,2,0.009192223,0.011482999999998356,228476064,0.0,0.0,19140206592,29712605184,1,1517,3151
moved_B1800000_W900000,zero,2,0.005459298,0.0058240000000751024,142782776,0.0,0.0,19140206592,29712605184,1,439,2322
moved_B1800000_W900000,zero,3,0.005170008,0.0056110000000444415,142782776,0.0,0.0,19140206592,29712605184,1,439,2322
moved_B1800000_W900000,fine,3,0.005326798,0.005604000000175802,142880192,0.0,0.0,19140206592,29712605184,1,881,3794
moved_B1800000_W900000,fixed,3,0.008549327,0.010575000000017099,228476064,0.0,0.0,19140206592,29712605184,1,1517,3151
moved_B3600000_W180000,zero,0,0.006367155,0.0058950000000095315,142801416,0.0,0.0,19140206592,29712605184,1,1583,15023
moved_B3600000_W180000,fine,0,0.006178603,0.005838000000039756,142801464,0.0,0.0,19140206592,29712605184,1,1583,15023
moved_B3600000_W180000,fixed,0,0.009715529,0.010637000000087937,228559160,0.0,0.0,19140206592,29712605184,1,4590,13556
moved_B3600000_W180000,fixed,1,0.009574857,0.009253999999828011,228559160,0.0,0.0,19140206592,29712605184,1,4590,13556
moved_B3600000_W180000,zero,1,0.006503409,0.006973000000016327,142801416,0.0,0.0,19140206592,29712605184,1,1583,15023
moved_B3600000_W180000,fine,1,0.006488749,0.0066219999998793355,142801464,0.0,0.0,19140206592,29712605184,1,1583,15023
moved_B3600000_W180000,fine,2,0.006439175,0.006045999999969354,142801464,0.0,0.0,19140206592,29712605184,1,1583,15023
moved_B3600000_W180000,fixed,2,0.00863307,0.009674000000131855,228559160,0.0,0.0,19140206592,29712605184,1,4590,13556
moved_B3600000_W180000,zero,2,0.006728989,0.006302000000005137,142801416,0.0,0.0,19140206592,29712605184,1,1583,15023
moved_B3600000_W180000,zero,3,0.006162984,0.0059689999998226995,142801416,0.0,0.0,19140206592,29712605184,1,1583,15023
moved_B3600000_W180000,fine,3,0.006803408,0.006268999999974767,142801464,0.0,0.0,19140206592,29712605184,1,1583,15023
moved_B3600000_W180000,fixed,3,0.009269804,0.00956899999982852,228559160,0.0,0.0,19140206592,29712605184,1,4590,13556
moved_B3600000_W360000,zero,0,0.005791137,0.0058989999999994325,142801416,0.0,0.0,19140206592,29712605184,1,1583,15023
moved_B3600000_W360000,fine,0,0.006735478,0.006266000000096028,142801464,0.0,0.0,19140206592,29712605184,1,1583,15023
moved_B3600000_W360000,fixed,0,0.01081105,0.012641999999914333,228561624,0.0,0.0,19140206592,29712605184,1,4590,13556
moved_B3600000_W360000,fixed,1,0.009254453,0.008357000000160042,228561624,0.0,0.0,19140206592,29712605184,1,4590,13556
moved_B3600000_W360000,zero,1,0.005862823,0.005976999999802501,142801416,0.0,0.0,19140206592,29712605184,1,1583,15023
moved_B3600000_W360000,fine,1,0.006207959,0.0067429999999149,142801464,0.0,0.0,19140206592,29712605184,1,1583,15023
moved_B3600000_W360000,fine,2,0.006606645,0.006530999999995402,142801464,0.0,0.0,19140206592,29712605184,1,1583,15023
moved_B3600000_W360000,fixed,2,0.009233714,0.008850000000165892,228561624,0.0,0.0,19140206592,29712605184,1,4590,13556
moved_B3600000_W360000,zero,2,0.006437748,0.00585399999999936,142801416,0.0,0.0,19140206592,29712605184,1,1583,15023
moved_B3600000_W360000,zero,3,0.00721013,0.007060000000137734,142801416,0.0,0.0,19140206592,29712605184,1,1583,15023
moved_B3600000_W360000,fine,3,0.006963582,0.006054000000176529,142801464,0.0,0.0,19140206592,29712605184,1,1583,15023
moved_B3600000_W360000,fixed,3,0.008691051,0.007934999999861247,228561624,0.0,0.0,19140214784,29712605184,1,4590,13556
moved_B3600000_W900000,zero,0,0.006146672,0.006264999999984866,142801416,0.0,0.0,19140214784,29712605184,1,1583,15023
moved_B3600000_W900000,fine,0,0.008373424,0.008942000000160988,143001504,0.0,0.0,19140214784,29712605184,1,3165,28535
moved_B3600000_W900000,fixed,0,0.010600461,0.012472999999999956,228573672,0.0,0.0,19140214784,29712605184,1,5145,15796
moved_B3600000_W900000,fixed,1,0.009877439,0.009616999999934706,228573672,0.0,0.0,19140214784,29712605184,1,5145,15796
moved_B3600000_W900000,zero,1,0.005850484,0.005699000000049637,142801416,0.0,0.0,19140214784,29712605184,1,1583,15023
moved_B3600000_W900000,fine,1,0.008280977,0.007953999999926964,143001504,0.0,0.0,19140214784,29712605184,1,3165,28535
moved_B3600000_W900000,fine,2,0.008409534,0.006904000000076849,143001504,0.0,0.0,19140214784,29712605184,1,3165,28535
moved_B3600000_W900000,fixed,2,0.010962908,0.013050999999904889,228573672,0.0,0.0,19140214784,29712605184,1,5145,15796
moved_B3600000_W900000,zero,2,0.006561293,0.006022000000029948,142801416,0.0,0.0,19140214784,29712605184,1,1583,15023
moved_B3600000_W900000,zero,3,0.00637649,0.0063409999997929845,142801416,0.0,0.0,19140227072,29712605184,1,1583,15023
moved_B3600000_W900000,fine,3,0.008372877,0.0075839999999516294,143001504,0.0,0.0,19140247552,29712605184,1,3165,28535
moved_B3600000_W900000,fixed,3,0.010306305,0.010776000000078056,228573672,0.0,0.0,19140247552,29712605184,1,5145,15796
