city,radius,samples,step_ms,hours,mode,variant,pair,wall_s,cpu_s,bytes,gc_s,compile_s,rss,external_cores,shared,separate
London,6,4,60000,3,mean_intersection,boarding,1,0.152798568,0.26265799999964656,507822112,0.0,0.0,24637292544,0.8988435016434263,79417,489766
London,6,4,60000,3,mean_intersection,fine,1,0.828266905,1.593315000000075,1273314792,0.0,0.0,25559330816,0.7807688513047756,734315,8290618
London,6,4,60000,3,mean_intersection,fine,2,0.824944625,1.5832599999994272,1273314792,0.0,0.0,26020515840,0.9294442035758336,734315,8290618
London,6,4,60000,3,mean_intersection,boarding,2,0.157043293,0.2891849999996339,507823056,0.0,0.0,26082238464,0.5782800288390714,79417,489766
London,6,4,60000,3,mean_intersection,boarding,3,0.19510201,0.3027489999985846,507826048,0.0,0.0,26141224960,0.805993746966409,79417,489766
London,6,4,60000,3,mean_intersection,fine,3,0.821894318,1.5523750000011205,1273314792,0.0,0.0,26021351424,0.7392982123420347,734315,8290618
London,6,4,60000,3,reachable_union,fine,0,0.812815152,1.5485349999999016,1271543752,0.0,0.0,26943156224,0.7768863541698853,734315,8290618
London,6,4,60000,3,reachable_union,boarding,0,0.169826203,0.2962069999994128,505949128,0.0,0.0,26148450304,0.8467067950705061,79417,489766
London,6,4,60000,3,reachable_union,boarding,1,0.152305714,0.25720000000001164,505946216,0.0,0.0,26037391360,1.1345601907936018,79417,489766
London,6,4,60000,3,reachable_union,fine,1,0.833071278,1.556190000001152,1271543752,0.0,0.0,26037391360,0.9048565470465391,734315,8290618
London,6,4,60000,3,reachable_union,fine,2,0.834657733,1.556060000000798,1271544440,0.0,0.0,27019849728,0.8553685801864228,734315,8290618
London,6,4,60000,3,reachable_union,boarding,2,0.168308267,0.28108400000019174,505948184,0.0,0.0,26159124480,1.1224404092300702,79417,489766
London,6,4,60000,3,reachable_union,boarding,3,0.167516614,0.27036000000043714,505948184,0.0,0.0,25237319680,0.6545022453965041,79417,489766
London,6,4,60000,3,reachable_union,fine,3,0.866951276,1.593323999999484,1271545128,0.0,0.0,26220638208,0.8612663948232309,734315,8290618
London,18,96,900000,3,mean_intersection,fine,0,64.128100273,441.99690799999917,5118162680,0.002147179,0.0,30756741120,0.5748352413849286,160780931,2286441034
London,18,96,900000,3,mean_intersection,boarding,0,9.621678367,63.736157999999705,2442627456,0.0,0.0,26529718272,0.5990474613835421,15190363,116736991
London,18,96,900000,3,mean_intersection,boarding,1,9.704846627,63.72787900000003,2442673248,0.0,0.0,22004088832,0.5885843660890335,15190363,116736991
London,18,96,900000,3,mean_intersection,fine,1,64.801477483,442.11852799999906,5118154424,0.002073566,0.0,25322483712,0.6301009419234693,160780931,2286441034
London,18,96,900000,3,mean_intersection,fine,2,64.601952357,442.851263999999,5118161992,0.001976558,0.0,29049778176,0.6140485628174872,160780931,2286441034
London,18,96,900000,3,mean_intersection,boarding,2,9.617486529,63.855876000001444,2442635056,0.0,0.0,25827606528,0.6565253802021171,15190363,116736991
London,18,96,900000,3,mean_intersection,boarding,3,9.648927122,64.13671400000021,2442660832,0.0,0.0,21924786176,0.6480809649557802,15190363,116736991
London,18,96,900000,3,mean_intersection,fine,3,64.48347963,443.6339960000005,5118156488,0.001970323,0.0,25328648192,0.6483211551228141,160780931,2286441034
