city,radius,samples,step_ms,hours,mode,origin_h3,fine,boarding,signed_error,relative_error
Paris,18,96,60000,3,reachable_union,881fb466e3fffff,2.761798035416661e7,1.8916592791666724e7,-8.701387562499885e6,-0.3150624140836983
Paris,18,96,60000,3,reachable_union,881fb46457fffff,2.9234269166666653e7,2.056533560416661e7,-8.668933562500045e6,-0.29653327446216754
Paris,18,96,60000,3,reachable_union,881fb466adfffff,2.908407602083328e7,2.0425762291666724e7,-8.658313729166556e6,-0.297699460108841
Paris,6,180,60000,6,mean_intersection,881fb46443fffff,1.38870144e8,9.1346651e7,-4.7523493e7,-0.342215336076846
Paris,6,180,60000,6,mean_intersection,881fb46455fffff,1.34598541e8,8.7608604e7,-4.6989937e7,-0.3491117856916443
Paris,6,180,60000,6,mean_intersection,881fb46451fffff,1.33663025e8,8.7111718e7,-4.6551307e7,-0.34827363064691974
Paris,6,180,60000,6,mean_intersection,881fb46457fffff,1.31993908e8,8.5881376e7,-4.6112532e7,-0.3493534868291043
Paris,6,180,60000,6,mean_intersection,881fb4646bfffff,1.32144746e8,8.7215698e7,-4.4929048e7,-0.33999874652602535
Paris,6,180,60000,6,mean_intersection,881fb46461fffff,1.30818639e8,8.614843e7,-4.4670209e7,-0.34146670032242116
Paris,6,180,60000,6,mean_intersection,881fb4640dfffff,1.30962113e8,8.6435983e7,-4.452613e7,-0.33999245262635613
Paris,6,180,60000,6,mean_intersection,881fb46467fffff,1.29230581e8,8.5560123e7,-4.3670458e7,-0.3379266553015033
Paris,6,180,60000,6,mean_intersection,881fb4645bfffff,1.31908312e8,8.8330316e7,-4.3577996e7,-0.330365807425388
Paris,6,180,60000,6,mean_intersection,881fb46409fffff,1.30105925e8,8.6644059e7,-4.3461866e7,-0.3340498597585006
Paris,6,180,60000,6,reachable_union,881fb46457fffff,1.685971216e8,1.2344952614444424e8,-4.514759545555575e7,-0.26778390417998543
Paris,6,180,60000,6,reachable_union,881fb46461fffff,1.6866926846111098e8,1.237401300111113e8,-4.4929138449999675e7,-0.26637418220829423
Paris,6,180,60000,6,reachable_union,881fb46409fffff,1.6864482576111102e8,1.2427140316111077e8,-4.437342260000025e7,-0.26311760470407874
Paris,6,180,60000,6,reachable_union,881fb4655bfffff,1.665514499166666e8,1.2225329053888895e8,-4.429815937777765e7,-0.26597282341247747
Paris,6,180,60000,6,reachable_union,881fb46453fffff,1.6704388537222224e8,1.2279177851666646e8,-4.425210685555579e7,-0.26491306016349686
Paris,6,180,60000,6,reachable_union,881fb4646bfffff,1.695352532444443e8,1.2532410485555561e8,-4.42111483888887e7,-0.26077849617001414
Paris,6,180,60000,6,reachable_union,881fb4640dfffff,1.6853160749444428e8,1.243776576555556e8,-4.4153949838888675e7,-0.2619921004452784
Paris,6,180,60000,6,reachable_union,881fb46467fffff,1.6736140508333328e8,1.2322224723888873e8,-4.413915784444456e7,-0.26373558361598726
Paris,6,180,60000,6,reachable_union,881fb46455fffff,1.7038857883333325e8,1.26356086211111e8,-4.403249262222226e7,-0.25842396787224187
Paris,6,180,60000,6,reachable_union,881fb4640bfffff,1.6743287609444427e8,1.2349962783888908e8,-4.39332482555552e7,-0.26239320066850946
Paris,6,180,60000,12,mean_intersection,881fb46447fffff,2.81375496e8,2.60766313e8,-2.0609183e7,-0.07324441286813405
Paris,6,180,60000,12,mean_intersection,881fb46443fffff,2.81207134e8,2.60671418e8,-2.0535716e7,-0.0730270093361145
Paris,6,180,60000,12,mean_intersection,881fb46625fffff,2.81800213e8,2.61524491e8,-2.0275722e7,-0.07195069792229007
