city,radius,samples,step_ms,hours,mode,origin_h3,fine,boarding,signed_error
Paris,6,4,60000,3,mean_intersection,881fb46743fffff,2.7172635e7,2.4187835e7,-2.9848e6
Paris,6,4,60000,3,mean_intersection,881fb46745fffff,2.712447e7,2.3471037e7,-3.653433e6
Paris,6,4,60000,3,mean_intersection,881fb46747fffff,2.7172179e7,2.4184862e7,-2.987317e6
Paris,6,4,60000,3,mean_intersection,881fb46749fffff,2.7124573e7,2.3533394e7,-3.591179e6
Paris,6,4,60000,3,mean_intersection,881fb4674bfffff,2.7171602e7,2.1513761e7,-5.657841e6
Paris,6,4,60000,3,mean_intersection,881fb4674dfffff,2.7171479e7,2.3532077e7,-3.639402e6
Paris,6,4,60000,3,mean_intersection,881fb46751fffff,2.7227089e7,2.2509794e7,-4.717295e6
Paris,6,4,60000,3,mean_intersection,881fb46753fffff,2.726762e7,2.3503568e7,-3.764052e6
Paris,6,4,60000,3,mean_intersection,881fb46755fffff,2.7183417e7,2.4061264e7,-3.122153e6
Paris,6,4,60000,3,mean_intersection,881fb46757fffff,2.7228122e7,2.4298325e7,-2.929797e6
Paris,6,4,60000,3,mean_intersection,881fb46759fffff,2.7267174e7,2.3687032e7,-3.580142e6
Paris,6,4,60000,3,mean_intersection,881fb4675bfffff,2.7302677e7,2.3589054e7,-3.713623e6
Paris,6,4,60000,3,mean_intersection,881fb4675dfffff,2.7183089e7,2.3296227e7,-3.886862e6
Paris,6,4,60000,3,mean_intersection,881fb46763fffff,2.7115893e7,2.4192435e7,-2.923458e6
Paris,6,4,60000,3,mean_intersection,881fb4676bfffff,2.7171469e7,2.4260472e7,-2.910997e6
Paris,6,4,60000,3,mean_intersection,881fb47591fffff,2.6916856e7,2.224894e7,-4.667916e6
Paris,6,4,60000,3,mean_intersection,881fb47593fffff,2.7168994e7,2.570463e7,-1.464364e6
Paris,6,4,60000,3,mean_intersection,881fb47595fffff,2.7171139e7,2.0965344e7,-6.205795e6
Paris,6,4,60000,3,mean_intersection,881fb47597fffff,2.7255684e7,2.3294269e7,-3.961415e6
Paris,6,4,60000,3,mean_intersection,881fb4759bfffff,2.6960015e7,2.5704054e7,-1.255961e6
Paris,6,4,60000,3,mean_intersection,881fb475a3fffff,2.721135e7,2.3436364e7,-3.774986e6
Paris,6,4,60000,3,mean_intersection,881fb475a7fffff,2.7166428e7,2.3355771e7,-3.810657e6
Paris,6,4,60000,3,mean_intersection,881fb475b1fffff,2.7171479e7,2.2661376e7,-4.510103e6
Paris,6,4,60000,3,mean_intersection,881fb475b3fffff,2.7302676e7,2.3533148e7,-3.769528e6
Paris,6,4,60000,3,mean_intersection,881fb475b5fffff,2.7127142e7,2.1007172e7,-6.11997e6
Paris,6,4,60000,3,mean_intersection,881fb475b7fffff,2.7171484e7,2.3424767e7,-3.746717e6
Paris,6,4,60000,3,mean_intersection,881fb475b9fffff,2.7127139e7,2.2645034e7,-4.482105e6
Paris,6,4,60000,3,mean_intersection,881fb475bbfffff,2.7215481e7,2.3312531e7,-3.90295e6
Paris,6,4,60000,3,mean_intersection,881fb475bdfffff,2.7127142e7,2.3205309e7,-3.921833e6
Paris,6,4,60000,3,reachable_union,881fb46401fffff,2.77241085e7,1.840575725e7,-9.31835125e6
Paris,6,4,60000,3,reachable_union,881fb46405fffff,2.689817e7,1.8761986e7,-8.136184e6
Paris,6,4,60000,3,reachable_union,881fb46409fffff,2.7673781e7,1.851417375e7,-9.15960725e6
Paris,6,4,60000,3,reachable_union,881fb4640bfffff,2.7673781e7,1.850918575e7,-9.16459525e6
Paris,6,4,60000,3,reachable_union,881fb4640dfffff,2.774051525e7,1.850663225e7,-9.233883e6
Paris,6,4,60000,3,reachable_union,881fb46429fffff,2.770844975e7,1.8394473e7,-9.31397675e6
Paris,6,4,60000,3,reachable_union,881fb4642dfffff,2.763634625e7,1.92094115e7,-8.42693475e6
Paris,6,4,60000,3,reachable_union,881fb46441fffff,2.8194372e7,2.42909745e7,-3.9033975e6
Paris,6,4,60000,3,reachable_union,881fb46443fffff,2.81392435e7,2.0048636e7,-8.0906075e6
Paris,6,4,60000,3,reachable_union,881fb46445fffff,2.78562375e7,2.411988175e7,-3.73635575e6
Paris,6,4,60000,3,reachable_union,881fb46447fffff,2.7851855e7,2.1700808e7,-6.151047e6
Paris,6,4,60000,3,reachable_union,881fb46449fffff,2.8386703e7,2.490879025e7,-3.47791275e6
Paris,6,4,60000,3,reachable_union,881fb4644bfffff,2.818646225e7,2.359411175e7,-4.5923505e6
Paris,6,4,60000,3,reachable_union,881fb4644dfffff,2.7904619e7,2.5054125e7,-2.850494e6
Paris,6,4,60000,3,reachable_union,881fb46451fffff,2.794137075e7,1.993093125e7,-8.0104395e6
Paris,6,4,60000,3,reachable_union,881fb46453fffff,2.78927885e7,1.841716e7,-9.4756285e6
Paris,6,4,60000,3,reachable_union,881fb46455fffff,2.794159875e7,1.85412785e7,-9.40032025e6
Paris,6,4,60000,3,reachable_union,881fb46457fffff,2.787824925e7,1.87083345e7,-9.16991475e6
Paris,6,4,60000,3,reachable_union,881fb46459fffff,2.794148475e7,2.059439e7,-7.34709475e6
Paris,6,4,60000,3,reachable_union,881fb4645bfffff,2.7925468e7,1.853486025e7,-9.39060775e6
Paris,6,4,60000,3,reachable_union,881fb4645dfffff,2.794159875e7,2.09525975e7,-6.98900125e6
Paris,6,4,60000,3,reachable_union,881fb46461fffff,2.772487525e7,1.954002025e7,-8.184855e6
Paris,6,4,60000,3,reachable_union,881fb46463fffff,2.77248405e7,1.85190385e7,-9.205802e6
Paris,6,4,60000,3,reachable_union,881fb46465fffff,2.7702064e7,2.447249525e7,-3.22956875e6
Paris,6,4,60000,3,reachable_union,881fb46467fffff,2.76655375e7,1.950672675e7,-8.15881075e6
Paris,6,4,60000,3,reachable_union,881fb46469fffff,2.78001275e7,2.08037935e7,-6.996334e6
Paris,6,4,60000,3,reachable_union,881fb4646bfffff,2.780051625e7,1.9190315e7,-8.61020125e6
Paris,6,4,60000,3,reachable_union,881fb4646dfffff,2.7708792e7,2.005695e7,-7.651842e6
Paris,6,4,60000,3,reachable_union,881fb46559fffff,2.766820075e7,2.419862025e7,-3.4695805e6
Paris,6,4,60000,3,reachable_union,881fb4655bfffff,2.768187675e7,1.9903782e7,-7.77809475e6
Paris,6,4,60000,3,reachable_union,881fb46601fffff,3.02523095e7,2.955172275e7,-700586.75
Paris,6,4,60000,3,reachable_union,881fb46603fffff,2.82184965e7,2.759801225e7,-620484.25
Paris,6,4,60000,3,reachable_union,881fb46605fffff,3.1895591e7,3.12629555e7,-632635.5
